EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
490;58014.4;242,50544;1119,9865;19,5733
491;75342.4;372,27469;1121,5024;19,5733
492;97246.4;286,20428;1122,6598;19,5733
493;122098.4;235,62305;1123,8236;19,5733
494;147506.4;361,62842;1125,0005;19,57
495;172538.4;581,96449;1126,2404;19,57
496;194726.4;547,37515;1127,3538;19,57
497;214842.4;443,54331;1128,5533;19,57
498;230842.4;517,36254;1129,7088;19,57
499;244106.4;524,90168;1130,828;19,57
500;251802.4;520,92397;1132,0309;19,57
501;257502.4;630,19715;1133,1697;19,57
502;257402.4;488,88263;1134,3419;19,57
503;258650.4;774,17081;1135,4994;19,57
504;255014.4;551,71651;1136,6544;19,57
505;253602.4;564,93225;1137,805;19,57
506;249846.4;467,87653;1138,9776;19,57
507;247122.4;477,17875;1140,1226;19,57
508;244618.4;587,70968;1141,2809;19,57
509;241730.4;417,03504;1142,437;19,57
510;238690.4;553,69306;1143,5925;19,57
511;238774.4;412,04099;1144,7481;19,57
512;236754.4;664,08165;1145,907;19,57
513;235446.4;302,21699;1147,0626;19,5666
514;234442.4;516,02067;1148,2247;19,57
515;235738.4;573,09918;1149,3655;19,57
516;234598.4;459,92077;1150,5281;19,57
517;235406.4;587,65977;1151,6864;19,5666
518;233354.4;539,83537;1152,8325;19,5666
519;234654.4;513,35931;1153,9873;19,5666
520;233678.4;325,68287;1155,1512;19,5666
521;232830.4;479,34029;1156,3055;19,5666
522;231510.4;310,07956;1157,4625;19,5666
523;229814.4;364,56367;1158,6194;19,5666
524;227038.4;301,35693;1159,7745;19,5666
525;225106.4;574,48102;1160,9282;19,5666
526;221830.4;452,32044;1162,0973;19,5666
527;218586.4;603,54656;1163,2402;19,5666
528;214890.4;388,24734;1164,3989;19,5666
529;209442.4;547,61057;1165,5497;19,5666
530;204838.4;629,13556;1166,7217;19,5666
531;200166.4;579,71027;1167,8749;19,5666
532;193470.4;404,12099;1169,0353;19,5666
533;188574.4;442,8594;1170,1833;19,5666
534;182846.4;500,33944;1171,3411;19,5666
535;176630.4;819,50012;1172,5027;19,5666
536;170214.4;356,62617;1173,6473;19,5666
537;164662.4;570,71651;1174,8055;19,5666
538;158158.4;464,8039;1175,9616;19,5666
539;152982.4;524,0458;1177,1042;19,57
540;145754.4;409,75874;1178,2803;19,57
541;140442.4;562,25103;1179,4427;19,57
542;134842.4;503,99471;1180,5994;19,57
543;129234.4;515,68293;1181,7474;19,57
544;123258.4;496,5821;1182,9082;19,57
545;118186.4;452,23593;1184,0484;19,57
546;113622.4;355,36773;1185,2192;19,5666
547;109250.4;304,65718;1186,3656;19,57
548;103742.4;273,3691;1187,5201;19,57
549;100210.4;328,63083;1188,6845;19,57
550;95806.4;229,22478;1189,8412;19,57
551;91530.4;359,18179;1191,0002;19,57
552;88110.4;409,58299;1192,1491;19,57
553;84910.4;131,20976;1193,2905;19,57
554;80930.4;310,43768;1194,458;19,57
555;78170.4;212,03354;1195,6185;19,57
556;75358.4;342,39418;1196,7581;19,57
557;72618.4;321,96342;1197,801;19,57
558;69782.4;241,97704;1198,976;19,57
559;67446.4;259,69555;1200,1323;19,57
560;65230.4;201,96369;1201,2883;19,57
561;62454.4;319,66649;1202,4319;19,57
562;59990.4;247,81355;1203,593;19,57
563;58646.4;191,25782;1204,7168;19,57
564;56242.4;262,50418;1205,8969;19,57
565;54266.4;310,701;1207,0611;19,57
566;52594.4;365,8415;1208,1987;19,57
567;50754.4;145,23544;1209,3674;19,57
568;48770.4;300,01185;1210,5176;19,57
569;47282.4;214,66667;1211,6747;19,57
570;45622.4;188,16541;1212,8341;19,57
571;44430.4;162,1193;1213,9712;19,57
572;42818.4;222,42702;1215,1371;19,57
573;41214.4;237,24343;1216,2813;19,57
574;39434.4;210,58648;1217,4431;19,57
575;38162.4;182,91953;1218,6025;19,57
576;36714.4;268,27846;1219,7545;19,57
577;35686.4;177,56877;1220,8984;19,57
578;34074.4;196,2538;1222,0262;19,57
579;33282.4;174,46299;1223,2266;19,57
580;31450.4;146,23573;1224,3769;19,57
581;30654.4;122,92726;1225,5367;19,57
582;29590.4;231,2632;1226,6919;19,57
583;28482.4;178,69154;1227,8343;19,57
584;27306.4;155,1544;1229,0017;19,57
585;26458.4;170,79683;1230,1526;19,57
586;25318.4;183,12837;1231,2989;19,5733
587;24470.4;203,27977;1232,4554;19,5733
588;24030.4;188,01418;1233,6073;19,5733
589;22686.4;171,66375;1234,7729;19,5733
590;21634.4;136,00654;1235,9244;19,5733
591;21070.4;232,4899;1237,0938;19,5733
