EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
490;21112;92,721806;357,50884;19,61
491;20924;198,97068;358,95234;19,61
492;20540;124,2578;360,11124;19,61
493;20180;110,47373;361,26549;19,61
494;19604;162,58468;362,41768;19,61
495;19248;154,43661;363,57984;19,61
496;18636;166,79462;364,72403;19,61
497;18532;155,61205;365,88599;19,61
498;18140;183,52112;367,04681;19,61
499;18760;164,38437;368,18618;19,61
500;18656;112,53839;369,34782;19,6066
501;19160;170,2286;370,50677;19,6066
502;19288;179,06423;371,65879;19,6066
503;19764;147,80768;372,80986;19,6066
504;20060;177,61381;373,96725;19,6066
505;20704;126,65965;375,12116;19,6066
506;20604;153,58819;376,2858;19,6066
507;20496;176,90676;377,44234;19,6066
508;20292;220,22615;378,60171;19,6066
509;20284;186,61428;379,75618;19,6066
510;19100;160,47153;380,91163;19,6066
511;18600;140,34877;382,07076;19,6033
512;18528;169,68467;383,2209;19,6033
513;18608;113,88883;384,37516;19,6033
514;19060;135,21999;385,53132;19,6033
515;18980;168,89181;386,70094;19,6033
516;19136;106,36624;387,85285;19,6033
517;18488;143,45576;389,01763;19,6033
518;18044;160,16103;390,168;19,6
519;17376;190,26998;391,33491;19,6033
520;17124;225,28599;392,49222;19,6033
521;17000;153,30435;393,64145;19,6033
522;17496;110,78708;394,80914;19,6
523;17420;155,06271;395,96007;19,6
524;17420;106,3746;397,10252;19,6
525;16984;106,86648;398,26474;19,6
526;16488;139,05075;399,42248;19,6
527;16340;119,29422;400,58317;19,6
528;15748;85,800803;401,73669;19,59
529;15148;134,40238;402,89035;19,59
530;14472;67,409198;404,06011;19,59
531;14208;162,29466;405,20411;19,59
532;13604;140,40576;406,35909;19,59
533;13104;121,50171;407,52541;19,59
534;12264;128,1943;408,68006;19,59
535;11512;138,5384;409,83643;19,59
536;10848;140,06982;410,97526;19,59
537;9992;92,913341;412,02378;19,59
538;9076;93,419008;413,19023;19,59
539;8744;91,253006;414,34764;19,59
540;8200;74,475947;415,50932;19,59
541;7844;97,515811;416,6725;19,59
542;7304;85,624503;417,82567;19,59
543;6952;118,32911;418,98662;19,59
544;6412;121,91801;420,03923;19,59
545;6196;66,786559;421,21429;19,59
546;5752;93,48559;422,36461;19,59
547;5640;46,188022;423,51319;19,59
548;5348;86,830614;424,6604;19,59
549;5256;79,151051;425,83057;19,5966
550;4972;83,490518;426,98425;19,5966
551;4580;45,117132;428,14633;19,5966
552;4468;70,817449;429,29427;19,5966
553;4432;89,997531;430,45904;19,5966
554;4344;62,595705;431,62217;19,5966
555;4168;85,956061;432,77668;19,5966
556;3976;83,522452;433,91999;19,5966
557;3888;63,329824;435,04757;19,5966
558;3708;70,313583;436,24109;19,5966
559;3608;45,723809;437,40112;19,5933
560;3652;53,682192;438,54031;19,5933
561;3208;58,968918;439,71177;19,5933
562;3132;42,184779;440,87625;19,5966
563;2908;41,761226;442,02797;19,5966
564;3000;72,785835;443,17913;19,5933
565;2828;51,311684;444,32576;19,5933
566;2676;54,143841;445,5017;19,5933
567;2724;69,140758;446,6468;19,5933
568;2520;40,442002;447,8029;19,5933
569;2364;54,471195;448,96066;19,5933
570;2296;45,489926;450,10689;19,5933
571;2268;60,236571;451,26166;19,5933
572;2292;54,990908;452,41754;19,5933
573;2052;49,906579;453,58391;19,58
574;2188;52,340764;454,73414;19,58
575;2104;53,731844;455,89503;19,58
576;2036;67,580405;457,0514;19,58
577;2048;55,23284;458,19912;19,58
578;2104;43,898874;459,35672;19,58
579;2096;36,854067;460,51576;19,58
580;2032;43,736585;461,66813;19,58
581;1964;59,464275;462,81475;19,58
582;2004;34,998413;463,87554;19,58
583;1980;26,832816;465,03486;19,58
584;2020;48,898989;466,18527;19,58
585;1960;32,659863;467,33962;19,58
586;1852;42,184779;468,50315;19,58
587;1860;62,039414;469,66783;19,58
588;1752;44,542115;470,81169;19,58
589;1736;48,880807;471,92819;19,58
590;1768;44,939465;473,1254;19,58
591;1820;39,21451;474,244;19,58
592;1780;55,377492;475,44354;19,58
593;1728;25,854293;476,5626;19,58
594;1700;35,402448;477,75237;19,58
595;1700;50,33223;478,90754;19,58
596;1652;35,801924;480,06038;19,58
597;1648;48,368952;481,21925;19,58
598;1692;64,235677;482,38708;19,58
599;1688;36,172427;483,53335;19,58
600;1564;44,800794;484,69489;19,58
601;1628;59,643385;485,85368;19,58
602;1628;40,022216;487,007;19,58
603;1540;32,249031;488,17236;19,58
604;1528;45,333333;489,31728;19,58
605;1572;39,575526;490,48722;19,58
606;1548;49,906579;491,62883;19,58
607;1536;44,701479;492,794;19,58
608;1616;39,64285;493,93809;19,58
609;1480;43,817805;495,095;19,58
610;1512;39,463063;496,25979;19,58
611;1496;57,255761;497,42144;19,58
612;1492;40,463976;498,57021;19,58
613;1492;43,838086;499,72899;19,58
614;1456;24;500,89327;19,58
615;1484;53,483123;502,05361;19,58
616;1424;39,191836;503,19802;19,58
617;1436;42,353014;504,36423;19,58
618;1364;52,136573;505,51597;19,58
619;1344;46,647615;506,66156;19,58
620;1352;59,866518;507,81745;19,58
621;1348;28;508,98893;19,58
622;1208;38,087618;510,15672;19,58
623;1240;35,777088;511,31028;19,58
624;1316;41,50502;512,43218;19,58
625;1264;59,688078;513,62291;19,58
626;1216;33,836207;514,76991;19,58
627;1160;47,702784;515,92755;19,58
628;1136;34,871192;517,08392;19,58
629;1188;29,844039;518,23971;19,58
630;1132;29,242283;519,3924;19,58
631;1100;38,758512;520,54715;19,5866
632;1024;45,097425;521,70087;19,5866
633;1176;40,966111;522,81893;19,5866
634;1048;43,736585;523,99887;19,5866
635;968;9,977753;525,12817;19,5866
636;1088;34,666667;526,28063;19,5866
637;1096;47,027179;527,47558;19,5866
638;1032;44,939465;528,621;19,5866
639;1028;31,580585;529,78295;19,5866
640;980;35,901099;530,96588;19,5866
641;992;39,911012;532,19041;19,5866
642;992;41,654665;533,24417;19,5866
643;924;34,486712;534,40409;19,5866
644;956;48,971647;535,58425;19,5866
645;956;30,666667;536,8304;19,5866
646;952;17,688666;537,98701;19,5866
647;916;28,252827;539,1285;19,5866
648;884;37,9239;540,28821;19,5866
649;880;25,298221;541,44323;19,5866
650;908;55,313249;542,60668;19,5866
651;832;38,551553;543,77293;19,5866
652;924;50,402822;544,92128;19,5866
653;836;33,43983;546,07776;19,5866
654;800;22,310934;547,2305;19,5866
655;760;27,325202;548,38993;19,5866
656;768;23,701852;549,50816;19,5866
657;768;37,142369;550,71084;19,5866
658;772;33,757304;551,96331;19,5866
659;804;39,754804;553,11023;19,5866
660;756;37,9239;554,26326;19,5866
661;704;32,768549;555,42723;19,5866
662;772;18,903263;556,59211;19,5866
663;760;26,666667;557,74904;19,5866
664;792;24,440404;558,90463;19,5866
665;728;23,701852;560,05917;19,5866
666;736;32,221456;561,21255;19,5866
667;748;45,038255;562,26973;19,5866
668;676;34,998413;563,43121;19,5733
669;688;21,333333;564,59272;19,5733
670;692;36,295087;565,74796;19,5733
671;704;19,955506;566,88333;19,5733
672;696;54,715425;568,01719;19,5733
673;724;31,240999;569,20393;19,5733
674;648;27,194771;570,36302;19,5866
675;692;32,138589;571,52966;19,5733
676;648;37,142369;572,67765;19,5733
677;696;24,729649;573,82277;19,5733
678;684;28,87521;574,98328;19,5733
