EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
490;177435.2;414,6731;772,0163;19,5466
491;216327.2;599,62803;773,47733;19,5466
492;257891.2;491,02161;774,64433;19,5466
493;302423.2;614,46417;775,80017;19,5466
494;343843.2;330,69892;776,9784;19,5466
495;381943.2;1142,956;778,21711;19,5466
496;412151.2;685,73399;779,3735;19,5466
497;435227.2;725,73518;780,53602;19,5466
498;452599.2;609,11739;781,67816;19,5466
499;464015.2;646,61718;782,84403;19,5466
500;466051.2;317,49016;783,99058;19,5466
501;466927.2;727,57619;785,15431;19,5466
502;460211.2;663,56612;786,32628;19,5466
503;453147.2;561,68635;787,47412;19,5466
504;443343.2;721,92459;788,59409;19,5466
505;436471.2;537,19436;789,78758;19,5466
506;428403.2;738,04065;790,9396;19,5466
507;421335.2;569,6455;792,10453;19,5466
508;413803.2;610,50944;793,24182;19,5466
509;407927.2;599,89481;794,42041;19,5466
510;403683.2;706,81256;795,56527;19,5466
511;400043.2;741,98053;796,72044;19,5466
512;397431.2;660,35008;797,88447;19,5466
513;394995.2;525,24534;799,0472;19,5466
514;391663.2;580,11646;800,19489;19,5466
515;390451.2;375,70674;801,36603;19,5466
516;387915.2;762,66667;802,50729;19,5466
517;384927.2;541,74861;803,67533;19,5466
518;383939.2;1101,7852;804,83785;19,5333
519;383295.2;755,78833;805,98599;19,5466
520;379731.2;565,37107;807,10588;19,5466
521;378103.2;621,96963;808,30515;19,5466
522;373455.2;628,91653;809,46047;19,5466
523;372683.2;800,35103;810,61474;19,5466
524;366295.2;587,98186;811,7669;19,5466
525;363975.2;1123,7153;812,93787;19,5466
526;359163.2;661,81703;814,088;19,5466
527;352519.2;932,05722;815,25461;19,5333
528;345719.2;697,4506;816,41347;19,5466
529;339667.2;649,27173;817,5679;19,5466
530;331343.2;544,22381;818,72775;19,5466
531;324207.2;539,87488;819,87834;19,5466
532;314187.2;523,44839;821,06362;19,5333
533;306967.2;561,88413;822,31374;19,5333
534;296111.2;837,22823;823,46671;19,5333
535;288499.2;456,1793;824,62004;19,5333
536;278019.2;549,15855;825,77583;19,5333
537;269351.2;619,19661;826,93005;19,5333
538;259535.2;696,95082;828,04912;19,5333
539;251159.2;337,47033;829,23931;19,5333
540;240551.2;406,44803;830,40712;19,5333
541;232915.2;442,46582;831,55332;19,5466
542;223743.2;728,44553;832,71128;19,5466
543;214859.2;627,51149;833,86243;19,5466
544;205371.2;526,89447;835,03891;19,5466
545;197211.2;572,49551;836,18085;19,5466
546;189851.2;394,63063;837,33941;19,5466
547;182103.2;481,37027;838,49315;19,5466
548;175355.2;474,08204;839,65667;19,5466
549;170355.2;538,34974;840,82032;19,5466
550;161739.2;301,56923;841,97322;19,5466
551;155979.2;415,46975;843,12233;19,5466
552;150607.2;393,92949;844,28075;19,5466
553;145195.2;386,95162;845,43201;19,5466
554;139571.2;686,91905;846,6043;19,5466
555;135139.2;369,49455;847,75358;19,5466
556;129767.2;243,63543;848,9151;19,5466
557;125519.2;285,16194;850,06384;19,5466
558;121651.2;244,54947;851,23985;19,5466
559;117603.2;242,0505;852,49243;19,5466
560;113351.2;368,89023;853,6076;19,5466
561;110135.2;491,50834;854,80213;19,5466
562;105663.2;363,73617;855,96037;19,5466
563;103087.2;245,59768;857,07475;19,5466
564;99235.2;344,2583;858,26663;19,5466
565;96267.2;312,07976;859,42689;19,5466
566;92747.2;199,48378;860,56699;19,5466
567;90259.2;284,95926;861,6893;19,5466
568;86963.2;197,83719;862,88369;19,5466
569;84435.2;242,37345;864,04456;19,5466
570;81927.2;319,52465;865,20002;19,5466
571;79099.2;252,82757;866,3399;19,5466
572;76387.2;275,20982;867,46156;19,5466
573;74783.2;322,7135;868,65607;19,5466
574;71515.2;313,217;869,8124;19,5466
575;69483.2;266,78664;870,96151;19,5466
576;67223.2;300,81667;872,12682;19,5466
577;64847.2;244,29127;873,27886;19,5466
578;62835.2;193,32874;874,43549;19,54
579;61331.2;190,81113;875,59422;19,5466
580;59279.2;386,94473;876,75094;19,5466
581;56831.2;308,81854;877,90625;19,54
582;55055.2;306,40279;879,06146;19,54
583;52931.2;206,30075;880,22083;19,54
584;51003.2;259,07871;881,3741;19,54
585;49323.2;175,25093;882,54167;19,54
586;48011.2;244,04007;883,69757;19,54
587;45919.2;159,33752;884,8488;19,54
588;44687.2;301,78432;885,99326;19,54
589;43295.2;259,87689;887,02881;19,54
590;41499.2;225,47136;888,21358;19,54
591;40595.2;182,64233;889,38029;19,54
592;38959.2;217,46417;890,53011;19,54
593;37975.2;280,15551;891,69697;19,54
594;36883.2;103,41717;892,83727;19,54
595;35027.2;220,07675;894,00409;19,54
596;33827.2;218,21091;895,16129;19,54
597;32823.2;172,3098;896,31538;19,54
598;31791.2;227,391;897,46843;19,54
599;30579.2;173,21021;898,64724;19,54
600;29507.2;177,40851;899,80116;19,54
601;28783.2;157,54223;900,95245;19,54
602;27683.2;207,57221;902,11004;19,54
603;26739.2;194,11795;903,26084;19,54
604;25991.2;199,57733;904,41872;19,54
605;25367.2;170,69271;905,56918;19,54
606;24395.2;168,57046;906,71909;19,54
607;23343.2;77,985754;907,89305;19,54
608;22875.2;188,76911;909,05468;19,54
609;21847.2;196,81463;910,19595;19,54
610;21759.2;192,4855;911,35202;19,54
611;20919.2;60,530984;912,51413;19,54
612;20051.2;183,39999;913,67348;19,54
613;19959.2;161,99314;914,82542;19,54
614;19035.2;212,76591;915,98354;19,54
615;18163.2;131,69662;917,14653;19,54
616;17911.2;133,76596;918,24991;19,54
617;17391.2;158,57701;919,44449;19,54
618;17007.2;95,303025;920,60532;19,54
619;16467.2;129,1614;921,74984;19,54
620;16191.2;99,465237;922,91467;19,54
621;15359.2;120,74583;924,06409;19,54
622;15059.2;147,12655;925,22658;19,5533
623;14611.2;167,5974;926,39838;19,5533
624;14403.2;132,90598;927,63167;19,5533
625;13831.2;125,25529;928,80778;19,5533
626;13559.2;99,964438;929,95457;19,5533
627;13119.2;124,08599;931,10644;19,5533
628;12855.2;144,40068;932,26599;19,5533
629;12631.2;159,13656;933,41373;19,5533
630;11859.2;151,7659;934,58598;19,5533
631;11611.2;116,23731;935,83337;19,5533
632;11415.2;154,39632;936,97602;19,5533
633;11087.2;109,69858;938,1273;19,5533
634;10783.2;114,55033;939,30011;19,5533
635;10547.2;132,8257;940,4586;19,5533
636;10139.2;119,52499;941,60382;19,5533
637;9815.2;130,0188;942,77632;19,5533
638;9543.2;58,742375;943,92081;19,5533
639;9203.2;89,402958;945,08638;19,5533
640;8895.2;88,934433;946,23309;19,5533
641;8835.2;89,08423;947,40509;19,5533
642;8903.2;114,70542;948,55046;19,5533
643;8487.2;86,296646;949,72043;19,5566
644;8063.2;99,071243;950,87217;19,5566
645;7763.2;84,074041;952,01691;19,5566
646;7675.2;101,57865;953,1793;19,5566
647;7295.2;81,420718;954,33446;19,5566
648;7167.2;95,489383;955,48492;19,5566
649;6987.2;90,273658;956,64471;19,5566
650;6671.2;85,427032;957,80358;19,5566
651;6547.2;61,737797;958,95768;19,5566
652;6419.2;42,07929;960,10377;19,5566
653;6243.2;62,481997;961,26324;19,5566
654;6063.2;92,385665;962,42064;19,5566
655;5707.2;66,184926;963,57836;19,5566
656;5555.2;81,801929;964,74834;19,5566
657;5463.2;65,060655;965,89912;19,5566
658;5251.2;110,91538;967,05761;19,5566
659;5151.2;59,404452;968,20885;19,5566
660;5055.2;92,654675;969,3713;19,5566
661;4911.2;44,72136;970,51907;19,5566
662;4779.2;54,25864;971,6881;19,5566
663;4599.2;58,742375;972,83526;19,5566
664;4443.2;88;973,9896;19,55
665;4291.2;54,650404;975,15385;19,55
