Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;1,5201541;0.20639774;344668.8;226732.8;0,003670773;0,001113643;395,26081;481,81878;3863,4977;5,0033
2.63;1;1,4929202;0.19772802;337896.8;226332.8;0,006694429;0,00222141;934,85685;798,69226;3866,1318;5,0033
5.68;1;1,5085111;0.2027143;339168.8;224836.8;0,005646363;0,001770706;667,52611;715,83487;3869,1859;5,0033
8.71;1;1,4968608;0.19899419;339692.8;226936.8;0,005733135;0,00209359;1039,405;522,7976;3872,2138;5,0033
11.77;1;1,5112572;0.20358614;342548.8;226664.8;0,005423747;0,002138134;1163,1375;263,41012;3875,2675;5,0066
14.81;1;1,4983627;0.19947572;340800.8;227448.8;0,005107472;0,001909309;978,50771;417,87824;3878,3099;5,0033
17.86;1;1,5009238;0.2002955;343796.8;229056.8;0,004570911;0,001397732;483,09373;618,87496;3881,3638;5,0033
20.92;1;1,5028599;0.20091412;343464.8;228540.8;0,005010326;0,001692691;758,46512;570,80995;3884,4168;5,0033
23.95;1;1,5061198;0.20195354;346420.8;230008.8;0,004629883;0,001663309;827,95169;444,67216;3887,454;5,0033
27.01;1;1,5182488;0.20579729;346732.8;228376.8;0,004669734;0,001489631;610,05501;576,14967;3890,5152;5,0033
30.14;1;1,510046;0.20320185;347764.8;230300.8;0,005797832;0,001867673;775,33534;719,89629;3893,6471;5
33.16;1;1,5117942;0.20375642;348088.8;230248.8;0,005045919;0,001908129;1014,3022;374,77104;3896,6623;5
36.14;1;1,4981827;0.19941805;348232.8;232436.8;0,004865546;0,001708533;824,32895;516,80385;3899,634;5
39.18;1;1,5101723;0.20324194;348820.8;230980.8;0,005487311;0,0017913;768,34714;667,48749;3902,6838;5
42.22;1;1,5066425;0.20211996;350572.8;232684.8;0,004091733;0,001500026;775,06014;367,00348;3905,7205;5
45.26;1;1,5050382;0.20160898;351180.8;233336.8;0,00499992;0,001511207;516,32204;695,12717;3908,7671;5
48.3;1;1,5154029;0.20489876;352568.8;232656.8;0,006809271;0,00197865;586,12854;971,23152;3911,8049;4,99
51.36;1;1,5138097;0.20439484;353148.8;233284.8;0,004439795;0,001404367;569,72508;571,38273;3914,8596;4,99
54.41;1;1,519412;0.20616396;354540.8;233340.8;0,005384609;0,001636439;599,84591;726,60673;3917,9121;4,99
57.44;1;1,5135246;0.20430459;356496.8;235540.8;0,003656011;0,001303218;663,05823;363,03902;3920,9425;4,99
60.5;1;1,5075628;0.20241279;357136.8;236896.8;0,003466909;0,001173669;551,23457;403,85036;3924,0011;5
63.54;1;1,5173284;0.20550691;358448.8;236236.8;0,004682156;0,001403477;492,07949;652,86514;3927,0417;5
66.6;1;1,5063359;0.20202237;357948.8;237628.8;0,004306518;0,001430527;649,43052;525,03545;3930,0978;4,99
69.63;1;1,5072154;0.20230228;357952.8;237492.8;0,005946126;0,00197752;900,71478;721,60808;3933,1359;4,99
72.68;1;1,5121103;0.20385663;360548.8;238440.8;0,003667827;0,001294064;656,29262;382,27622;3936,1777;4,99
75.71;1;1,5065762;0.20209885;360964.8;239592.8;0,005061269;0,001830113;957,3519;494,03374;3939,2142;4,99
78.76;1;1,5016149;0.20051645;360400.8;240008.8;0,005176056;0,001607362;615,64925;718,57266;3942,2644;4,99
81.77;1;1,5138654;0.20441245;362880.8;239704.8;0,005676608;0,001950972;959,35256;637,42398;3945,2745;4,99
84.75;1;1,5142212;0.20452503;363468.8;240036.8;0,006508162;0,002099517;919,40077;834,09139;3948,2495;4,99
87.78;1;1,520329;0.20645282;363280.8;238948.8;0,004829294;0,001763481;944,0725;436,47069;3951,2866;4,99
90.79;1;1,5112694;0.20359002;363636.8;240616.8;0,003719729;0,001175879;488,25494;496,35292;3954,2901;4,99
93.77;1;1,5082497;0.20263124;365208.8;242140.8;0,004835116;0,001675656;836,69721;542,97289;3957,2771;4,99
96.83;1;1,5149597;0.20475864;366148.8;241688.8;0,004263254;0,00147641;741,62584;472,16758;3960,3276;4,99
99.87;1;1,5137889;0.20438824;366192.8;241904.8;0,00497673;0,001635761;750,28765;621,95248;3963,3729;4,99
102.91;1;1,5137421;0.20437343;367428.8;242728.8;0,004368864;0,001374919;572,61971;589,63642;3966,4099;4,99
105.96;1;1,5220449;0.20699269;369352.8;242668.8;0,005609794;0,001919241;959,35997;634,56022;3969,4568;4,99
109;1;1,5152518;0.20485099;369140.8;243616.8;0,003667679;0,001299581;679,83789;382,64808;3972,5094;4,99
112.03;1;1,5068762;0.20219434;367636.8;243972.8;0,005056943;0,00169763;808;618,73563;3975,5326;4,99
115.1;1;1,5123842;0.20394341;369736.8;244472.8;0,005535068;0,00174233;728,83591;753,85705;3978,6012;5
118.13;1;1,515338;0.20487825;370840.8;244724.8;0,003808209;0,001281411;622,6838;457,59565;3981,6288;5
121.19;1;1,5038822;0.20124036;369408.8;245636.8;0,004533614;0,001323622;398,54179;691,45386;3984,6903;4,99
