EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;301495.2;661,55507;2093,3037;5,0033
501;296163.2;569,75628;2094,7953;5,0033
502;291003.2;697,78061;2095,9062;5,0033
503;282703.2;1042,3265;2097,0867;5,0033
504;275707.2;707,67726;2098,1375;5,0033
505;269867.2;651,26748;2099,3016;5,0033
506;263347.2;585,429;2100,4674;5,0033
507;257583.2;467,24726;2101,6144;5,0033
508;253999.2;590,03427;2102,7702;5
509;250491.2;672,71391;2103,9252;5
510;248315.2;607,03432;2105,0827;5
511;244931.2;420,99565;2106,2333;5
512;242027.2;432,67437;2107,4009;5,0033
513;240699.2;606,25481;2108,5652;5,0033
514;239523.2;633,52278;2109,7166;5,0033
515;238707.2;695,84673;2110,8706;5,0033
516;236419.2;637,80736;2112,0315;5,0033
517;235523.2;299,86664;2113,1841;5,0033
518;234599.2;577,64118;2114,3576;5
519;233143.2;518,29635;2115,5877;5
520;231003.2;795,78892;2116,7096;5
521;230759.2;563,6847;2117,8636;5
522;228031.2;607,83185;2119,0509;5
523;225403.2;568,63189;2120,1931;5
524;223003.2;656,02168;2121,3603;5
525;220331.2;380,16605;2122,5179;5
526;216319.2;613,02746;2123,6835;5
527;213771.2;546,00936;2124,8353;5
528;209579.2;501,45389;2125,9909;5
529;205791.2;422,10267;2127,1457;5
530;200959.2;613,05646;2128,3045;5
531;195971.2;627,82305;2129,4524;5
532;191535.2;686,68738;2130,5046;5
533;186051.2;299,26131;2131,6657;5
534;180211.2;538,86465;2132,8278;5
535;175151.2;355,78021;2133,973;5
536;169419.2;398,27182;2135,116;5
537;163435.2;234,74241;2136,2815;5
538;157467.2;360,60197;2137,4551;5
539;150943.2;454,55717;2138,599;5
540;144335.2;527,9074;2139,76;5
541;139599.2;437,3435;2140,9208;5
542;133667.2;241,1233;2142,0675;5
543;128847.2;484,80741;2143,188;5
544;122815.2;307,42226;2144,382;5
545;118071.2;440,76902;2145,5421;5
546;112095.2;493,2991;2146,7014;5
547;107471.2;420,28773;2147,8632;5
548;101827.2;273,19997;2149,019;5
549;98355.2;452,34402;2150,1623;5
550;94443.2;257,44039;2151,2172;5
551;90259.2;482,04011;2152,3814;5
552;86699.2;281,65858;2153,5439;5
553;82839.2;287,23664;2154,7037;5
554;80451.2;417,34824;2155,8515;5
555;77007.2;351,32511;2157,0022;5
556;74415.2;285,84689;2158,1749;5
557;70899.2;299,58193;2159,3275;5
558;68003.2;268,79153;2160,4928;5
559;65831.2;181,25979;2161,6462;5
560;63023.2;301,83145;2162,8147;5
561;61095.2;288,20055;2163,9239;5
562;58743.2;194,15916;2165,1264;5
563;56851.2;222,77443;2166,2756;5
564;54271.2;214,00312;2167,4317;5
565;52479.2;344,63249;2168,5832;5
566;51071.2;272,86464;2169,7395;5
567;49419.2;202,92965;2170,9026;5
568;47475.2;190,6993;2172,0662;5
569;45791.2;215,49323;2173,2161;5
570;44443.2;132,26237;2174,3503;5
571;42999.2;206,68387;2175,5312;5
572;41123.2;168,44386;2176,6751;5
573;40267.2;141,88571;2177,8432;5
574;38343.2;200,90905;2178,989;5
575;37171.2;191,53648;2180,146;5
576;35719.2;182,86121;2181,3006;5
577;34627.2;238,37972;2182,4593;5
578;33227.2;177,50869;2183,6053;5
579;31739.2;151,46103;2184,7611;5
580;30739.2;272,93955;2185,9233;5
581;29439.2;197,71585;2187,0838;5
582;28599.2;132,18842;2188,1972;5
583;27439.2;126,97506;2189,3979;5
584;26795.2;191,72202;2190,5569;5
585;25455.2;172;2191,7092;5,0033
586;24423.2;143,51152;2192,8734;5,0033
587;23615.2;219,17421;2194,0224;5,0033
588;22499.2;208,37573;2195,1768;5
589;22087.2;126,41378;2196,3202;5
590;21075.2;164,90266;2197,4856;5
591;20191.2;185,52508;2198,6388;5
592;19471.2;137,0223;2199,8015;5
593;18707.2;106,19897;2200,9507;5
594;18135.2;127,61748;2202,1012;5,0033
595;17511.2;81,11446;2203,2617;5,0033
596;17039.2;117,97552;2204,4112;5
597;15963.2;184,36678;2205,5556;5
598;15647.2;144,03086;2206,7119;5
599;14895.2;102,42396;2207,8854;5
600;14571.2;91,758136;2209,029;5
