EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;186756;463,2043;2431,5568;4,99
501;186124;430,77398;2433,0667;4,9966
502;186436;401,39534;2434,2198;4,9966
503;184536;464,26812;2435,3845;4,9966
504;181308;542,30619;2436,5371;4,9966
505;181332;424,83984;2437,7083;4,9966
506;179676;452,29096;2438,8641;4,9966
507;178676;366,04553;2439,9776;4,9966
508;177420;391,23963;2441,16;4,9966
509;177784;598,51074;2442,3201;4,9966
510;175584;589,86401;2443,4718;4,9966
511;174484;551,49252;2444,6467;4,9966
512;173176;338,58267;2445,7953;4,9966
513;173160;436,05504;2446,9479;4,9966
514;171960;270,16374;2448,1128;4,9966
515;172136;635,23784;2449,2614;4,9966
516;171332;237,63651;2450,4295;4,9966
517;170508;558,71122;2451,5712;4,9966
518;170148;436,69262;2452,7134;4,9966
519;168860;476,05975;2453,8804;4,9966
520;167320;516,45974;2455,0384;4,99
521;166440;435,11633;2456,1934;4,99
522;165136;570,16801;2457,3544;4,99
523;162708;437,22153;2458,5077;4,9966
524;161064;387,75938;2459,6576;4,9966
525;159276;588,13302;2460,8119;4,9966
526;157072;424,03354;2461,9757;4,9966
527;155928;601,27864;2463,1284;4,9966
528;152272;525,40778;2464,2813;4,9966
529;150648;451,88789;2465,4543;4,9966
530;147748;474,87823;2466,6194;4,99
531;145468;368,94805;2467,7695;4,99
532;142264;412,59289;2468,9244;4,99
533;139552;440,0808;2470,0848;4,99
534;136920;554,18569;2471,2414;4,99
535;133828;178,33302;2472,3975;4,99
536;129832;428,24707;2473,5449;4,99
537;127132;483,29425;2474,6997;4,99
538;124368;349,33333;2475,8501;4,9966
539;120436;280,78936;2477,0176;4,9966
540;116564;433,85814;2478,1694;4,9966
541;113896;444,83005;2479,2834;4,99
542;109148;261,24148;2480,4632;4,99
543;107036;316,95496;2481,6362;4,99
544;103324;497,7121;2482,7853;4,99
545;100588;360,0716;2483,9331;4,99
546;96912;387,76854;2485,0894;4,99
547;94332;283,73697;2486,2511;4,99
548;91064;264,10772;2487,4224;4,99
549;88360;244,09834;2488,663;4,99
550;84704;258,25397;2489,8179;4,99
551;81832;349,62837;2490,9801;4,99
552;79696;278,22932;2492,0835;4,99
553;76644;351,65893;2493,281;4,99
554;74256;309,44825;2494,4318;4,99
555;72792;392,00907;2495,5534;4,99
556;70132;248,39037;2496,7283;4,99
557;68356;260,83285;2497,785;4,99
558;65448;283,23214;2498,9505;4,99
559;63712;267,99668;2500,1072;4,99
560;62112;266,73333;2501,2592;4,99
561;59776;152,16365;2502,4139;4,99
562;58984;260,31093;2503,567;4,99
563;57076;382,43431;2504,7373;4,99
564;55568;170,35388;2505,8831;4,99
565;54256;298,63095;2507,0455;4,99
566;52668;293,84501;2508,1871;4,99
567;51520;136,46978;2509,3459;4,99
568;50492;233,71398;2510,5031;4,99
569;49188;295,11278;2511,6554;4,99
570;48332;226,52937;2512,8171;4,99
571;46980;181,45584;2513,9601;4,99
572;45356;226,62353;2515,1203;4,99
573;44420;248,87659;2516,2739;4,99
574;43964;110,28045;2517,4323;5
575;42948;200,92674;2518,5442;5
576;41476;213,5374;2519,7319;5
577;40564;291,87821;2520,9011;4,99
578;39772;231,42073;2522,0541;4,99
579;39008;188,39203;2523,2;4,99
580;38344;205,24673;2524,3589;4,99
581;36780;151,56077;2525,5286;4,99
582;36184;155,24032;2526,6655;4,99
583;35372;225,90067;2527,836;4,99
584;34336;113,79514;2528,9849;4,99
585;33628;171,00487;2530,1412;4,99
586;33072;152,02339;2531,2978;4,99
587;31992;235,51362;2532,4579;4,99
588;31168;212,43143;2533,6165;4,99
589;30632;157,6494;2534,7667;4,99
590;29944;212,81604;2535,9315;4,99
591;28888;145,96194;2537,086;4,99
592;28096;165,69852;2538,2375;5
593;27876;248,26151;2539,3928;5
594;27024;164,57892;2540,5524;5
595;26392;185,13659;2541,7143;4,99
596;25780;109,95757;2542,8269;4,99
597;25484;151,56077;2544,0123;4,99
598;24844;196,7785;2545,1698;4,99
599;24316;132,45712;2546,3351;4,99
600;24224;179,65894;2547,477;4,99
