Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;1,6007937;0.23100397;122954.4;76808.4;0,006212023;0,002023429;329,65564;215,48232;2626,8309;5,0033
6.49;1;1,6280107;0.23896809;123830.4;76062.4;0,006208487;0,001879084;281,44888;232,92014;2633,3305;5,0033
12.17;1;1,6497655;0.24521624;124970.4;75750.4;0,00498318;0,001560641;252,11693;170,29015;2639,0085;5,0033
17.85;1;1,6736619;0.25196227;126104.4;75346.4;0,006451306;0,002003883;327,30189;214,72332;2644,681;5,0033
23.53;1;1,6817398;0.25421548;126716.4;75348.4;0,006327021;0,001828775;272,23017;232,7117;2650,3651;5,0033
29.2;1;1,7054451;0.2607501;128202.4;75172.4;0,006009701;0,00183538;303,11922;196,41578;2656,0304;5
34.86;1;1,6904883;0.25664051;127906.4;75662.4;0,005900844;0,001761972;279,95639;205,73667;2661,692;5
40.53;1;1,7129938;0.26280702;129184.4;75414.4;0,00582115;0,001763384;291,67069;191,53452;2667,3686;5
46.21;1;1,7133431;0.26290192;129834.4;75778.4;0,004855856;0,001434831;231,33298;167,01718;2673,0432;5
51.87;1;1,7281126;0.26689243;131088.4;75856.4;0,006273023;0,00176959;272,43734;225,7614;2678,704;5
57.54;1;1,7331624;0.26824693;131426.4;75830.4;0,006754828;0,001991446;327,55683;227,21379;2684,3723;5
63.2;1;1,7380819;0.26956166;131514.4;75666.4;0,005417961;0,001496009;225,19045;197,09682;2690,0317;4,99
68.88;1;1,7430156;0.27087547;132466.4;75998.4;0,005714991;0,001822608;328,51949;162,99822;2695,7112;4,99
74.56;1;1,742665;0.27078226;132286.4;75910.4;0,00519358;0,0016389;292,26664;151,8337;2701,3962;4,99
80.24;1;1,7469531;0.2719206;133478.4;76406.4;0,006031805;0,001751657;289,27496;205,37206;2707,0726;5
85.91;1;1,7472798;0.27200716;134118.4;76758.4;0,006700033;0,001934054;318,57578;231,06162;2712,7469;5
91.58;1;1,7551885;0.27409686;134704.4;76746.4;0,00537373;0,001538245;252,88691;185,6108;2718,4142;4,99
97.24;1;1,7413822;0.27044101;134334.4;77142.4;0,006644053;0,00175835;250,98375;256,62424;2724,0721;4,99
102.91;1;1,7535736;0.27367114;134794.4;76868.4;0,007591422;0,001936146;259,6824;298,00565;2729,7461;5
108.57;1;1,7698073;0.27792811;136010.4;76850.4;0,005701997;0,001622165;269,31648;195,31567;2735,4104;5
114.25;1;1,764374;0.27650889;136090.4;77132.4;0,006823981;0,001790033;261,26977;258,97409;2741,0861;5
119.91;1;1,7575867;0.27472815;136498.4;77662.4;0,004713944;0,001484345;273,46509;138,48504;2746,7407;4,99
125.59;1;1,7743583;0.27911257;137034.4;77230.4;0,005514575;0,00174594;325,32284;154,90846;2752,4217;5
131.28;1;1,7550385;0.27405734;136960.4;78038.4;0,005913185;0,001700809;286,00294;206,34157;2758,1113;5
137.03;1;1,7622295;0.27594721;137352.4;77942.4;0,005758415;0,001710084;300,17924;189,34569;2763,8671;5
142.71;1;1,7802036;0.28062822;138226.4;77646.4;0,005713253;0,00156035;250,87804;205,51553;2769,5458;5
148.39;1;1,7786118;0.28021611;138668.4;77964.4;0,005837407;0,00167471;287,59438;198,31448;2775,2307;4,99
154.16;1;1,7758115;0.27948997;139160.4;78364.4;0,005810981;0,001771558;324,66955;179,8075;2780,9895;4,99
159.83;1;1,7838815;0.28157861;139350.4;78116.4;0,006744603;0,001887721;317,00706;235,90319;2786,6692;4,99
165.5;1;1,7949321;0.2844191;140224.4;78122.4;0,005957113;0,001685966;290,38305;202,61241;2792,3368;5
171.17;1;1,7939282;0.28416199;140020.4;78052.4;0,00618683;0,00161031;245,79795;231,70353;2798,0039;5
176.85;1;1,7745589;0.27916469;139832.4;78798.4;0,005009477;0,00144934;252,9535;170,76916;2803,6862;5
182.5;1;1,7789942;0.28031516;140918.4;79212.4;0,005684488;0,001590799;269,36182;202,8279;2809,3305;5
191.22;1;1,7742808;0.27909244;140644.4;79268.4;0,006055189;0,001742764;304,06751;209,31719;2818,0552;5
196.9;1;1,7875252;0.28251769;140986.4;78872.4;0,005481882;0,001570322;274,79523;186,74553;2823,7302;5
202.59;1;1,7886017;0.28279468;141214.4;78952.4;0,005890023;0,001608185;265,57425;213,42865;2829,4246;5
208.25;1;1,7904104;0.28325954;142252.4;79452.4;0,005964951;0,00154922;238,50896;228,74072;2835,0886;5
213.93;1;1,7842871;0.28168328;142026.4;79598.4;0,006503192;0,001902332;342,6227;217,46869;2840,765;5
219.58;1;1,7928158;0.28387688;142124.4;79274.4;0,006692795;0,00187725;323,91389;234,38879;2846,4186;5
