Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;2,4859093;0.42626161;226067.6;90939.6;0,005906462;0,001252159;321,52629;173,08288;3392,1545;20,48
6.53;1;2,4678985;0.42328185;221823.6;89883.6;0,006622047;0,001265851;297,27853;208,94673;3398,6888;20,48
12.21;1;2,4771964;0.42482398;219805.6;88731.6;0,007163577;0,001563751;396,1382;200,66993;3404,3643;20,4833
17.89;1;2,4610892;0.42214722;217603.6;88417.6;0,008975054;0,001799362;428,61319;271,36148;3410,045;20,4833
23.57;1;2,4503477;0.42034828;214791.6;87657.6;0,008053678;0,002012204;527,32393;191,55651;3415,7254;20,4833
29.25;1;2,4509288;0.42044588;212641.6;86759.6;0,007411491;0,001460698;335,27993;223,86979;3421,4057;20,4833
34.93;1;2,4465746;0.4197137;210213.6;85921.6;0,007895221;0,001606391;372,41855;231,75304;3427,086;20,4866
40.6;1;2,4457388;0.41957296;208933.6;85427.6;0,006099372;0,001446449;361,37865;153,47964;3432,7516;20,4866
46.28;1;2,4360676;0.41793928;205661.6;84423.6;0,006236275;0,001213402;265,84523;186,54702;3438,4326;20,4866
51.95;1;2,4295102;0.41682634;204087.6;84003.6;0,009054145;0,00214842;524,36448;226,76628;3444,1059;20,4866
57.6;1;2,4212919;0.4154255;201755.6;83325.6;0,009113566;0,002079314;492,64293;238,67882;3449,7529;20,49
63.29;1;2,4230214;0.41572085;199951.6;82521.6;0,008556017;0,001615427;334,1336;256,6997;3455,4483;20,49
68.96;1;2,4048646;0.41260513;198217.6;82423.6;0,008398782;0,001830997;415,47335;230,24884;3461,1209;20,49
74.65;1;2,4112001;0.41369608;196545.6;81513.6;0,009158999;0,002034535;462,87341;242,93989;3466,805;20,49
80.42;1;2,4228919;0.41569875;195991.6;80891.6;0,008878121;0,001750962;368,32337;254,45711;3472,5799;20,49
86.1;1;2,4096423;0.4134282;194365.6;80661.6;0,007532764;0,001416159;282,3048;223,28646;3478,2552;20,4933
91.78;1;2,4005511;0.41186004;192345.6;80125.6;0,006903154;0,001717661;402,93032;157,85136;3483,931;20,4933
97.45;1;2,4084525;0.41322345;191639.6;79569.6;0,008596567;0,001994344;452,18976;213,09943;3489,6007;20,5066
103.11;1;2,3981548;0.41144529;189539.6;79035.6;0,006763491;0,001426779;303,09943;183,60771;3495,272;20,5066
108.89;1;2,3812879;0.40850941;188425.6;79127.6;0,007653633;0,001994839;466,75949;162,04678;3501,0473;20,5066
114.57;1;2,3784344;0.40800981;186501.6;78413.6;0,008926911;0,002099642;465,80321;219,6859;3506,7238;20,5
120.35;1;2,378854;0.40808334;186591.6;78437.6;0,006847557;0,001531582;331,1209;177,77336;3512,5065;20,5
126.01;1;2,3861154;0.40935267;185161.6;77599.6;0,00805017;0,001691321;349,36333;217,03213;3518,1701;20,5
131.69;1;2,3667426;0.40595399;183279.6;77439.6;0,008898044;0,001785794;351,23212;250,48122;3523,8483;20,5
137.39;1;2,3625336;0.4052104;182679.6;77323.6;0,008306574;0,002059903;458,39514;190,43385;3529,5478;20,5133
143.15;1;2,3664454;0.40590155;181661.6;76765.6;0,009698199;0,001998418;397,84154;265,91491;3535,3095;20,5166
148.83;1;2,3572284;0.4042705;180251.6;76467.6;0,006613646;0,001439301;294,90944;174,29014;3540,9812;20,5166
154.52;1;2,3510182;0.40316647;178121.6;75763.6;0,008217285;0,001669816;321,1427;226,8591;3546,6733;20,5166
160.27;1;2,3555387;0.40397051;178553.6;75801.6;0,006643725;0,001570882;334,16794;159,94736;3552,4267;20,51
165.96;1;2,3545246;0.40379033;176795.6;75087.6;0,006796758;0,001466659;292,99578;177,47409;3558,1115;20,51
171.62;1;2,341063;0.40138813;175419.6;74931.6;0,007206622;0,001423413;262,09641;201,67457;3563,7718;20,52
177.31;1;2,3517129;0.40329018;175107.6;74459.6;0,007484155;0,00149713;279,34171;205,0412;3569,4656;20,5233
182.98;1;2,3470815;0.40246451;173792;74046;0,007561471;0,001625604;318,03343;196,33001;3575,1365;20,5233
191.6;1;2,3341597;0.40014872;173232;74216;0,008234584;0,001744337;335,7568;218,76977;3583,7528;20,5266
197.28;1;2,3251305;0.39851984;171962;73958;0,007020725;0,001298859;216,41821;202,99391;3589,4358;20,5266
202.94;1;2,3163024;0.39691869;170642;73670;0,007799923;0,001876007;383,93941;184,57291;3595,0963;20,53
208.62;1;2,3277403;0.39899156;170358;73186;0,007796756;0,001642857;309,29836;206;3600,7789;20,53
214.3;1;2,3131166;0.39633879;168802;72976;0,008670338;0,001981285;389,7192;215,49258;3606,4535;20,53
219.99;1;2,3108337;0.39592254;169190;73216;0,007316478;0,001539989;286,54714;195,86032;3612,1522;20,5333
225.66;1;2,3042234;0.39471404;169024;73354;0,008044283;0,001617473;288,16077;223,47448;3617,8207;20,5333
231.33;1;2,2890186;0.39191587;167840;73324;0,007389913;0,001732336;343,12005;183,21342;3623,4852;20,5466
237.01;1;2,2926695;0.39259012;167076;72874;0,007707559;0,001668012;311,90957;203,74339;3629,1686;20,5466
242.68;1;2,2858245;0.39132476;165960;72604;0,00745556;0,00171423;331,67644;187,147;3634,8412;20,54
248.37;1;2,2732873;0.38899345;165318;72722;0,010047171;0,002124077;383,71343;273,51705;3640,5256;20,54
254.03;1;2,2763107;0.38955728;164814;72404;0,008373842;0,001986469;388,57879;204,45769;3646,1814;20,54
259.71;1;2,2735888;0.38904972;164576;72386;0,009606265;0,002070472;378,46671;256,57296;3651,8636;20,5533
265.38;1;2,284083;0.391002;164422;71986;0,00647976;0,0012537;206,56336;183,1025;3657,5403;20,5533
271.05;1;2,2724016;0.38882808;163672;72026;0,009076908;0,00209881;401,21919;227,15216;3663,2077;20,5566
276.73;1;2,2672647;0.38786716;162776;71794;0,006720709;0,001471612;269,00832;176,67037;3668,8835;20,55
282.41;1;2,2691664;0.38822326;162790;71740;0,006245257;0,001475906;284,31969;152,59441;3674,564;20,55
288.08;1;2,2740566;0.38913702;162354;71394;0,008592492;0,001874122;341,18647;224,1893;3680,2322;20,56
293.74;1;2,2587256;0.38626314;161142;71342;0,007272845;0,00190592;383,22592;154,86157;3685,9015;20,56
299.41;1;2,2658765;0.38760697;161344;71206;0,006924405;0,001734245;341,76754;156,84454;3691,5701;20,5633
305.08;1;2,2418416;0.38306671;160202;71460;0,007319734;0,001596669;284,57725;195,76785;3697,2333;20,5666
310.77;1;2,2464795;0.38394805;159846;71154;0,00731959;0,001580135;278,88915;195,79742;3702,9291;20,5666
316.44;1;2,237032;0.38215008;159308;71214;0,007001635;0,001583816;288,57399;181,76851;3708,5922;20,57
322.13;1;2,2477914;0.3841969;158766;70632;0,006592317;0,001372481;232,7913;179,40252;3714,2824;20,57
327.8;1;2,2292877;0.38066837;158110;70924;0,006666545;0,001438565;249,77421;180,08419;3719,9536;20,57
333.56;1;2,2237804;0.37961034;157626;70882;0,007515712;0,001474689;229,07181;216,28198;3725,7223;20,57
339.22;1;2,24591;0.38383997;158970;70782;0,006613751;0,001760309;351,60354;137,61502;3731,3782;20,5733
344.9;1;2,2211944;0.37911229;157034;70698;0,006987829;0,001598431;288,5532;180,53196;3737,0569;20,5866
350.59;1;2,2430857;0.38330338;157016;70000;0,007600733;0,001711868;306,79875;193,7899;3742,7474;20,5866
356.26;1;2,2255906;0.37995851;155640;69932;0,007299711;0,00179102;335,83956;172,74258;3748,418;20,58
361.93;1;2,2121299;0.37736017;154942;70042;0,008175138;0,001872663;333,28824;210,48065;3754,0839;20,58
367.6;1;2,2154864;0.37801012;154413.2;69697.2;0,007055299;0,001673384;304,42733;174,30463;3759,7532;20,58
376.19;1;2,2172156;0.37834442;154467.2;69667.2;0,00810491;0,001781859;306,17504;213,97491;3768,3532;20,5933
381.87;1;2,2013973;0.37527278;154021.2;69965.2;0,006491089;0,001629342;305,73845;152,54956;3774,0238;20,5966
387.55;1;2,2033891;0.37566122;153799.2;69801.2;0,007210511;0,001730753;315,56266;177,94795;3779,7045;20,5966
393.22;1;2,1994624;0.37489498;153173.2;69641.2;0,00965193;0,001874446;273,96926;279,07026;3785,3755;20,59
398.9;1;2,2070898;0.37638166;152839.2;69249.2;0,00716239;0,001560146;262,25098;190,74315;3791,0571;20,6
404.65;1;2,2144406;0.37780775;152821.2;69011.2;0,007153493;0,001603026;276,72179;184,61682;3796,8088;20,6
410.33;1;2,1790953;0.3708902;151297.2;69431.2;0,00772241;0,002013267;378,43862;174,30524;3802,4827;20,6033
416.02;1;2,2093601;0.37682282;152519.2;69033.2;0,007610311;0,001558049;245,17405;210,30855;3808,1739;20,6066
421.8;1;2,1811332;0.37129322;150409.2;68959.2;0,006429047;0,001704178;321,25379;140,07817;3813,9595;20,6066
427.57;1;2,2027776;0.37554202;150809.2;68463.2;0,007022077;0,001459465;230,34025;191,5675;3819,7263;20,61
433.26;1;2,2004298;0.37508393;150327.2;68317.2;0,0064922;0,001716915;323,2532;138,0122;3825,4121;20,61
