Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;2,8326855;0.47817267;239306.4;84480.4;0,010077437;0,001899679;498,57988;243,61272;5082,2723;20,97
5.11;1;2,7963665;0.47318047;238514.4;85294.4;0,009195258;0,001694592;438,05215;232,64882;5087,3859;20,97
10.79;1;2,7910149;0.47243678;236796.4;84842.4;0,009651631;0,001713429;431,40383;249,37649;5093,0641;20,97
16.47;1;2,8276225;0.47748243;238686.4;84412.4;0,009867885;0,001893489;499,1749;235,82822;5098,747;20,9733
22.15;1;2,8148792;0.47573701;236946.4;84176.4;0,008949433;0,001408735;330,1687;240,55156;5104,4223;20,97
27.82;1;2,8140043;0.47561674;235516.4;83694.4;0,008063027;0,001630744;432,55398;184,06864;5110,0974;20,9733
33.5;1;2,8041525;0.47425872;236946.4;84498.4;0,007923705;0,001476736;381,36707;196,24904;5115,7749;20,9733
39.17;1;2,82357;0.47692862;235910.4;83550.4;0,008862859;0,001483684;361,43107;228,89391;5121,4491;20,9733
44.85;1;2,8129086;0.47546605;235970.4;83888.4;0,009843731;0,001695023;419,26351;252,91355;5127,1286;20,9733
50.53;1;2,8162987;0.47593201;234942.4;83422.4;0,00908924;0,001815696;478,32515;208,90491;5132,8032;20,9733
56.2;1;2,8043501;0.47428603;233934.4;83418.4;0,008264501;0,001664095;437,73003;189,92519;5138,4704;20,9733
61.88;1;2,8132053;0.47550687;233930.4;83154.4;0,011061983;0,00173353;399,61139;294,50976;5144,1572;20,9733
67.54;1;2,8236471;0.47693917;233810.4;82804.4;0,008507338;0,001382888;327,73674;220,83621;5149,8169;20,9733
73.31;1;2,8186499;0.47625469;232094.4;82342.4;0,009398782;0,00137626;297,29163;253,50428;5155,5893;20,9866
78.98;1;2,8314391;0.47800293;231788.4;81862.4;0,009080993;0,001577831;386,02836;224,37562;5161,2589;20,9866
84.65;1;2,8144674;0.4756804;230894.4;82038.4;0,008446569;0,001542372;384,76678;204,76431;5166,9262;20,98
90.34;1;2,8058309;0.47449057;231016.4;82334.4;0,008970838;0,001628569;405,10921;220,11289;5172,6156;20,98
96.01;1;2,805157;0.4743975;230680.4;82234.4;0,009200611;0,001644019;405,14039;227,79307;5178,2814;20,98
101.69;1;2,8312221;0.47797336;232982.4;82290.4;0,010038092;0,001772194;439,41013;247,05593;5183,9586;20,98
107.38;1;2,8243626;0.47703704;231220.4;81866.4;0,010693652;0,001817072;437,71151;268,43955;5189,6501;20,98
113.15;1;2,8298631;0.47778813;229746.4;81186.4;0,010298297;0,001992644;507,32819;234,84104;5195,4292;20,98
118.82;1;2,8177575;0.47613226;229400.4;81412.4;0,009090413;0,002138189;577,05952;164,44548;5201,0982;20,98
124.5;1;2,8080273;0.47479368;229922.4;81880.4;0,008700248;0,001760371;455,91227;194,93535;5206,7791;20,98
130.18;1;2,8095219;0.47499974;229932.4;81840.4;0,006824248;0,001469158;388,28394;142,88678;5212,4536;20,9933
135.86;1;2,780371;0.47095139;228208.4;82078.4;0,008743302;0,001743956;445,81681;202,2609;5218,1393;20,9966
141.63;1;2,8263382;0.47730705;229522.4;81208.4;0,009070074;0,002020129;537,77632;178,08041;5223,8987;20,9966
147.29;1;2,8371443;0.47877905;228998.4;80714.4;0,008966434;0,001824599;471,53054;193,51377;5229,5698;20,9966
152.97;1;2,8249916;0.47712304;228842.4;81006.4;0,010686877;0,001676368;379,32794;275,46095;5235,2427;20,99
158.66;1;2,8141074;0.47563092;227420.4;80814.4;0,007988691;0,001464474;360,48476;190,32161;5240,93;20,99
164.32;1;2,8218291;0.47669036;227886.4;80758.4;0,007503244;0,001311822;316,2757;183,16515;5246,5912;20,99
170;1;2,8296009;0.47775237;228242.4;80662.4;0,008000791;0,001526808;384,07127;183,28925;5252,2778;21
175.66;1;2,7928214;0.47268806;225616.4;80784.4;0,007996419;0,001384371;327,60021;199,35211;5257,9341;21
181.34;1;2,8159129;0.47587902;227454.8;80774.8;0,008381294;0,001575218;392,18121;195,96939;5263,613;21,0033
190.07;1;2,832552;0.47815451;226464.8;79950.8;0,009524577;0,001974868;507,85079;200,32132;5272,3499;21,0033
195.85;1;2,8054304;0.47443526;225328.8;80318.8;0,008106195;0,001415375;336,59721;198,65813;5278,1209;21,0066
201.52;1;2,7974311;0.47332817;225894.8;80750.8;0,010538133;0,002015287;501,61403;245,72599;5283,791;21,01
207.2;1;2,8063799;0.47456637;225640.8;80402.8;0,007804365;0,001381839;331,56598;189,8315;5289,4734;21,01
212.87;1;2,8486104;0.48033192;226278.8;79434.8;0,007871119;0,001537808;387,14583;172,35154;5295,1451;21,01
218.53;1;2,8219181;0.47670255;225072.8;79758.8;0,009513741;0,001715906;415,04242;225,10769;5300,8048;21,01
224.2;1;2,8180678;0.47617483;224624.8;79708.8;0,009590171;0,001830511;453,04211;218,48473;5306,4695;21,0133
229.89;1;2,8253071;0.47716616;224862.8;79588.8;0,009514601;0,001764299;431,9091;220,15497;5312,1625;21,0133
235.56;1;2,8063653;0.47456436;225274.8;80272.8;0,008834741;0,001534924;363,98352;216,88513;5317,8332;21,0266
241.34;1;2,8288639;0.47765184;225196.8;79606.8;0,011022238;0,001901939;450,30048;266,21519;5323,6115;21,0266
247.1;1;2,8254396;0.47718427;224234.8;79362.8;0,010654162;0,001659416;366,0023;269,77222;5329,3747;21,02
252.77;1;2,8154166;0.47581085;223996.8;79560.8;0,00842491;0,001442615;337,75731;205,64456;5335,0468;21,02
258.45;1;2,8421026;0.4794517;225312.8;79276.8;0,009827723;0,001527134;339,13699;246,79845;5340,7232;21,02
264.11;1;2,8023823;0.47401396;224164.8;79990.8;0,008018362;0,001835771;481,33674;151,26902;5346,3818;21,0333
269.79;1;2,8135894;0.47555969;222894.8;79220.8;0,009919861;0,001552905;340,84076;251,67063;5352,0646;21,0333
275.46;1;2,8337321;0.47831513;224110.8;79086.8;0,00859996;0,001685516;420,6789;188,59871;5357,7398;21,0333
