EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;682706.4;1487,7903;2986,0572;20,3666
501;667270.4;908,15956;2987,5655;20,3666
502;639986.4;820,41182;2988,7104;20,3666
503;620162.4;1481,3861;2989,8471;20,3666
504;592234.4;738,91332;2990,9839;20,3666
505;571410.4;875,95941;2992,1604;20,3666
506;550842.4;771,57156;2993,3397;20,3666
507;531070.4;763,43551;2994,4854;20,3666
508;516894.4;797,43589;2995,6509;20,37
509;503806.4;819,34391;2996,8112;20,37
510;491518.4;1188,2207;2997,9625;20,37
511;483466.4;911,26774;2999,1189;20,37
512;476738.4;816,01852;3000,273;20,37
513;469058.4;974,72138;3001,3908;20,37
514;464706.4;557,1116;3002,5893;20,37
515;461862.4;572,71905;3003,7022;20,37
516;456810.4;809,55296;3004,8982;20,37
517;454058.4;893,95103;3006,0601;20,37
518;451242.4;925,9412;3007,2037;20,37
519;447090.4;584,92013;3008,3576;20,37
520;444778.4;397,4161;3009,526;20,37
521;442022.4;985,44429;3010,6645;20,37
522;436162.4;888,41332;3011,8285;20,3733
523;432906.4;1204,558;3012,994;20,3733
524;430090.4;673,9456;3014,1445;20,3733
525;424342.4;397,69111;3015,298;20,3733
526;416414.4;971,53807;3016,4549;20,3733
527;409570.4;870,33991;3017,6127;20,3733
528;401550.4;488,12385;3018,7724;20,3733
529;393278.4;818,36259;3019,8752;20,3733
530;382910.4;671,8783;3021,0743;20,3866
531;374562.4;777,08172;3022,2427;20,3866
532;363430.4;581,83465;3023,3874;20,3866
533;354886.4;619,24685;3024,5479;20,3866
534;343614.4;496,59463;3025,7075;20,3866
535;334162.4;634,43273;3026,861;20,3866
536;322062.4;807,01811;3028,013;20,3866
537;311722.4;729,30896;3029,1858;20,3866
538;298930.4;502,56055;3030,3303;20,3866
539;286746.4;438,79633;3031,4896;20,3866
540;275450.4;696,26176;3032,6449;20,38
541;264814.4;559,19943;3033,8036;20,38
542;252998.4;891,15755;3034,9634;20,38
543;243166.4;548,58201;3036,1115;20,38
544;230858.4;436,55418;3037,2729;20,38
545;223126.4;604,98668;3038,4238;20,38
546;212674.4;625,36176;3039,581;20,38
547;204154.4;528,81587;3040,7422;20,38
548;195234.4;535,03229;3041,8881;20,38
549;186106.4;599,77033;3043,0507;20,38
550;177518.4;578,32863;3044,2105;20,38
551;171886.4;490,55071;3045,3672;20,38
552;164518.4;455,36017;3046,5291;20,38
553;157218.4;457,47325;3047,6821;20,38
554;150246.4;309,37931;3048,8459;20,3933
555;144646.4;648,25235;3050,0058;20,3933
556;138510.4;441,41993;3051,1536;20,3966
557;133866.4;510,97293;3052,3102;20,3933
558;127938.4;331,35681;3053,4639;20,3933
559;123298.4;472,57404;3054,6203;20,3933
560;118766.4;267,6648;3055,7771;20,3966
561;113402.4;451,74034;3056,9461;20,3966
562;109438.4;378,66667;3058,0936;20,3966
563;105498.4;422,31321;3059,1998;20,3966
564;101738.4;462,03607;3060,3848;20,3966
565;98062.4;461,65692;3061,5437;20,3966
566;94482.4;217,66029;3062,6988;20,3966
567;91490.4;377,80418;3063,842;20,3966
568;87758.4;389,13237;3065,0075;20,3966
569;83778.4;285,78469;3066,1508;20,3966
570;80798.4;258,25397;3067,321;20,39
571;77722.4;301,60754;3068,4759;20,39
572;74906.4;262,65313;3069,6295;20,39
573;72782.4;271,17522;3070,7991;20,39
574;69638.4;234,89383;3071,9442;20,39
575;66786.4;218,29643;3073,1054;20,39
576;64066.4;266,74999;3074,2628;20,39
577;62042.4;164,21666;3075,4247;20,4
578;59954.4;473,73879;3076,5593;20,4
579;57378.4;281,96454;3077,6114;20,4
580;54578.4;201,86244;3078,7375;20,4
581;52534.4;231,92336;3079,9225;20,4
582;50342.4;255,09562;3081,0936;20,4
583;48350.4;419,87088;3082,2364;20,4
584;46282.4;258,16102;3083,3108;20,4
585;43990.4;216,98541;3084,4645;20,4
586;42210.4;293,60291;3085,6223;20,4
587;40566.4;213,91587;3086,7797;20,4033
588;39154.4;78,666667;3087,9225;20,4033
589;36782.4;185,15579;3089,0378;20,4033
590;35550.4;204,58739;3090,2318;20,4033
591;33826.4;201,5275;3091,3533;20,4033
592;32334.4;106,46648;3092,5488;20,4033
593;31106.4;204,76545;3093,7025;20,4033
594;29862.4;193,60441;3094,8642;20,4066
595;28622.4;71,851699;3096,0085;20,4033
596;26986.4;168,68116;3097,1698;20,4033
597;25990.4;279,18612;3098,3344;20,4066
598;24622.4;159,13097;3099,4776;20,4066
599;23994.4;166,11107;3100,6424;20,4066
600;22646.4;172,51087;3101,7824;20,4066
