EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;514086.4;810,44734;418,50733;19,3566
501;491338.4;682,28244;419,96575;19,3566
502;469870.4;721,0067;421,10871;19,3566
503;450414.4;842,3206;422,27366;19,35
504;429178.4;793,27059;423,43053;19,35
505;415514.4;486,69589;424,58909;19,35
506;398030.4;688,77476;425,74844;19,35
507;389442.4;886,74686;426,90405;19,35
508;379878.4;678,80156;428,063;19,36
509;369434.4;478,1836;429,22126;19,36
510;361554.4;456,81214;430,37417;19,36
511;357262.4;924,04906;431,52756;19,36
512;350818.4;485,54025;432,69245;19,36
513;349998.4;806,95202;433,85004;19,3633
514;346042.4;996,24629;434,99033;19,3633
515;342934.4;429,85476;436,15621;19,3633
516;342538.4;680,14247;437,31313;19,3633
517;340718.4;551,75518;438,4698;19,3633
518;339102.4;408,27006;439,62442;19,3633
519;338570.4;708,62747;440,78559;19,3666
520;335682.4;1171,2292;441,9439;19,3666
521;332306.4;497,15457;443,05569;19,3666
522;330238.4;591,14052;444,26703;19,3666
523;330182.4;782,56558;445,50992;19,3666
524;326870.4;676,64007;446,66798;19,37
525;325122.4;566,4784;447,82807;19,37
526;317462.4;783,11061;448,97419;19,37
527;318430.4;762,75058;450,13824;19,37
528;311494.4;700,29327;451,28902;19,37
529;307014.4;605,3627;452,44958;19,37
530;300142.4;771,35379;453,59626;19,37
531;296346.4;654,89473;454,74894;19,37
532;291466.4;550,05293;455,91554;19,37
533;286126.4;504,17634;457,06224;19,37
534;278022.4;556,33723;458,19517;19,3733
535;272030.4;720,26662;459,37559;19,3733
536;263202.4;623,11761;460,5503;19,3733
537;256082.4;469,90306;461,69607;19,3733
538;248362.4;280,07935;462,86633;19,3733
539;242122.4;543,96895;464,01936;19,3733
540;232686.4;515,50881;465,16142;19,3866
541;227814.4;723,46819;466,33708;19,3866
542;218806.4;705,63951;467,49374;19,3866
543;212986.4;457,17782;468,63529;19,3866
544;205574.4;547,69984;469,80223;19,3866
545;198138.4;623,09479;470,97089;19,38
546;192470.4;368,86854;472,12671;19,38
547;186410.4;371,23458;473,26869;19,38
548;180654.4;497,34584;474,43151;19,38
549;177726.4;424,87959;475,5487;19,38
550;170046.4;394,99986;476,73719;19,38
551;165358.4;499,00167;477,9066;19,38
552;160266.4;525,93029;479,0654;19,38
553;155654.4;359,0506;480,2255;19,38
554;151518.4;421,68761;481,38185;19,38
555;146862.4;521,36573;482,5331;19,3933
556;143278.4;504,35261;483,68942;19,3933
557;139722.4;407,32188;484,85608;19,3933
558;136282.4;404,51892;486,1127;19,3933
559;134026.4;441,26888;487,22067;19,3933
560;130038.4;349,18063;488,41984;19,3966
561;127534.4;479,95555;489,57478;19,3966
562;125586.4;457,10004;490,73169;19,3966
563;123094.4;562,81199;491,89227;19,3966
564;121070.4;308,38936;493,04749;19,39
565;119138.4;404,7913;494,19884;19,39
566;117910.4;529,74795;495,34303;19,39
567;115562.4;192,78082;496,51046;19,39
568;113234.4;370,99506;497,66753;19,39
569;111402.4;291,95129;498,82973;19,4
570;110258.4;361,50058;499,97791;19,4
571;108602.4;371,14837;501,13832;19,4
572;106198.4;389,15064;502,24343;19,4
573;105546.4;514,86179;503,43814;19,4
574;103722.4;419,91534;504,60057;19,4
575;102698.4;586,25592;505,74264;19,4033
576;100174.4;413,10962;506,91142;19,4033
577;98518.4;299,58193;508,05427;19,4033
578;97098.4;199,95111;509,21198;19,4033
579;96014.4;284,7096;510,37926;19,4066
580;94082.4;244,34948;511,52415;19,4066
581;93434.4;345,38481;512,69578;19,4066
582;91722.4;191,29965;513,83797;19,4066
583;90006.4;295,15796;515,00685;19,4066
584;88374.4;281,19112;516,14854;19,4066
585;87178.4;155,42915;517,31337;19,4066
586;86390.4;474,32947;518,46869;19,4066
587;85034.4;308,34613;519,61914;19,4066
588;83050.4;317,49296;520,74447;19,41
589;82990.4;276,02254;521,93393;19,41
590;81270.4;213,0665;523,06249;19,41
591;79682.4;387,78001;524,26276;19,41
592;78194.4;195,41864;525,42203;19,41
593;76878.4;176,40358;526,57917;19,41
594;76082.4;280,20627;527,73882;19,4133
595;74778.4;246,82517;528,89358;19,4133
596;73686.4;199,12698;530,04485;19,4133
597;72706.4;344,5809;531,20469;19,4133
598;71090.4;191,46685;532,31983;19,4133
599;69890.4;435,2491;533,50869;19,4133
600;68918.4;285,35825;534,66868;19,4133
