Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;3,7970128;0.58307387;255744;67354;0,022307724;0,004202287;1144,5703;256,35953;1614,9481;19,8833
5.19;1;3,8988897;0.59174423;263370;67550;0,015114311;0,002386236;648,8109;202,18751;1620,138;19,8833
11.17;1;3,8567775;0.58820432;256360;66470;0,011016323;0,001450189;368,68586;164,04043;1626,121;19,8833
17.18;1;3,8221979;0.58525137;251600;65826;0,014762261;0,002190051;563,0638;207,20648;1632,1322;19,8833
23.16;1;3,7991616;0.58326055;248336;65366;0,013618122;0,001504915;345,96745;215,88447;1638,1057;19,8866
29.16;1;3,7431605;0.57834022;243268;64990;0,012565408;0,001769098;434,42884;184,73252;1644,1136;19,8866
35.17;1;3,8031156;0.58360361;243156;63936;0,011245019;0,001669582;415,04445;154,36389;1650,1195;19,8866
41.16;1;3,761168;0.57993501;237262;63082;0,013947791;0,001796761;419,06437;205,69318;1656,1064;19,89
47.16;1;3,6812112;0.57276015;232682;63208;0,013133849;0,001984911;474,88747;184,97226;1662,1088;19,89
53.16;1;3,6838728;0.57300292;230802;62652;0,010120529;0,001396892;323,39352;148,0512;1668,1138;19,89
59.15;1;3,6699361;0.57172862;227492;61988;0,013603454;0,002345416;564,13436;170,78149;1674,1014;19,89
65.16;1;3,6669478;0.57145439;226060;61648;0,014987509;0,002184837;503,19485;211,32166;1680,1073;19,89
71.13;1;3,6567648;0.57051728;223304;61066;0,013416659;0,001879448;422,68714;191,93146;1686,0772;19,89
77.12;1;3,6851327;0.57311775;221248;60038;0,013788458;0,001639412;343,98286;204,32946;1692,0719;19,8933
83.13;1;3,6173225;0.56684854;217676;60176;0,013505531;0,002338099;539,61468;168;1698,0812;19,8933
89.14;1;3,6291767;0.56795773;217228;59856;0,010803843;0,001771583;403,48482;139,24911;1704,0876;19,9066
95.12;1;3,6471241;0.5696263;216858;59460;0,017145369;0,002039016;417,93351;254,95676;1710,07;19,9066
101.12;1;3,6445836;0.5693909;214112;58748;0,011599316;0,001358942;272,9087;171,32303;1716,0728;19,9066
107.12;1;3,5975689;0.56498749;210134;58410;0,014523521;0,002182125;470,99693;196,11973;1722,0781;19,9
113.12;1;3,5956517;0.56480601;209044;58138;0,012439131;0,001530206;305,78837;182,26355;1728,0638;19,9
119.1;1;3,5985256;0.56507799;208916;58056;0,013270216;0,001914037;405,96707;181,95662;1734,0515;19,9
125.09;1;3,5692366;0.56229012;207030;58004;0,010303174;0,001578361;337,42648;138,19589;1740,0411;19,9
131.1;1;3,5680985;0.56218107;204502;57314;0,013045058;0,001629061;319,93782;189,38738;1746,0458;19,9133
137.08;1;3,5499405;0.56043381;202730;57108;0,011301692;0,001337776;252,92354;167,26909;1752,0263;19,9133
143.06;1;3,5155051;0.55708166;200658;57078;0,012368078;0,001739783;350,82909;174,25631;1758,0073;19,9133
149.03;1;3,5121438;0.55675171;200136;56984;0,014068353;0,002345833;495,5006;179,43537;1763,9757;19,9166
155.03;1;3,488833;0.5544499;197140;56506;0,009267894;0,001444;295,36917;123,9516;1769,983;19,91
161.02;1;3,5234551;0.5578601;196940;55894;0,012918486;0,001694761;326,52686;182,78028;1775,9698;19,91
167.01;1;3,508687;0.55641188;194276;55370;0,014557453;0,002172743;432,53086;193,85236;1781,9653;19,92
172.99;1;3,4753757;0.55311014;193356;55636;0,010759434;0,001767622;359,68524;137,68308;1787,946;19,92
178.99;1;3,4510551;0.55066834;191996;55634;0,009898463;0,001430907;278,16088;137,71901;1793,9402;19,9233
184.99;1;3,4323699;0.54877412;189965.2;55345.2;0,0103181;0,001432022;270,90919;146,4607;1799,94;19,9266
193.91;1;3,4228789;0.54780584;188495.2;55069.2;0,012349005;0,00180824;346,36032;170,97799;1808,8677;19,9266
