Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;1;3,7770733;0.58133361;250188.8;66238.8;0,013195981;0,002067178;535,07383;182,99209;647,89875;19,47
6.61;1;3,9716233;0.59771691;261502.8;65842.8;0,015073477;0,001952084;504,51665;215,19685;654,51328;19,48
12.6;1;4,0725088;0.60571778;265416.8;65172.8;0,014806912;0,002191966;590,81033;187,35612;660,50155;19,4833
18.6;1;4,1626471;0.61260183;268768.8;64566.8;0,013409402;0,001818435;487,45181;171,89654;666,50418;19,4866
24.58;1;4,2209409;0.61692729;267644.8;63408.8;0,016342955;0,002190291;582,76726;203,01102;672,47881;19,49
30.57;1;4,2314669;0.61769805;267042.8;63108.8;0,015902867;0,001549512;375,57283;219,94449;678,47372;19,49
36.57;1;4,1968401;0.61515075;266376.8;63470.8;0,01279526;0,001991701;540,60785;144,40513;684,46558;19,4933
42.55;1;4,2341506;0.61789407;267042.8;63068.8;0,016108265;0,00168656;420,2483;218,44619;690,45297;19,5066
48.52;1;4,2386821;0.61822459;267438.8;63094.8;0,014771335;0,001555777;389,09855;199,79937;696,4244;19,5
54.52;1;4,2858461;0.62163106;267568.8;62430.8;0,013962842;0,001576137;403,251;180,32193;702,42489;19,5
60.52;1;4,2285123;0.61748201;266272.8;62970.8;0,011014682;0,001546897;412,81473;131,81406;708,41631;19,5
66.49;1;4,2361722;0.61804159;265636.8;62706.8;0,016643276;0,002146604;562,49819;207,51918;714,38538;19,5133
72.48;1;4,2389875;0.61824685;266406.8;62846.8;0,014433612;0,0017193;443,85749;186,62374;720,38076;19,51
78.47;1;4,2586237;0.61967235;266124.8;62490.8;0,012983995;0,001887773;505,83625;148,96909;726,36488;19,52
84.45;1;4,2662483;0.620223;265952.8;62338.8;0,015300619;0,001977534;518,83189;187,60485;732,34934;19,52
90.45;1;4,2431639;0.61855093;266032.8;62696.8;0,01132621;0,001562181;415,09314;135,78621;738,34805;19,5266
