Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0.00;1;51.154.372;    0.67295878;89.868.000;17.568.000;   0.091651544;  0.0095691358;80.831.208;27.222.282;68.335.846;19.770.000
5.14;1;51.850.923;    0.67664185;90.988.000;17.548.000;   0.095734348;  0.0067712149;52.513.657;30.775.930;68.849.513;19.773.300
11.12;1;54.521.036;    0.69002358;91.748.000;16.828.000;    0.12054590;  0.0084972432;67.338.892;35.096.858;69.448.124;19.786.600
17.12;1;53.855.337;    0.68679204;92.028.000;17.088.000;   0.092859870;  0.0082183088;68.994.279;26.532.998;70.048.296;19.780.000
23.12;1;50.816.100;    0.67113971;91.408.000;17.988.000;    0.11239719;  0.0065773176;45.459.062;38.767.865;70.648.223;19.780.000
29.09;1;50.579.553;    0.66985560;93.208.000;18.428.000;    0.10388563;  0.0075620687;60.238.124;35.926.826;71.245.467;19.780.000
35.09;1;52.021.883;    0.67753317;91.288.000;17.548.000;   0.095105212;  0.0077869252;63.584.175;29.661.245;71.844.714;19.793.300
41.10;1;50.938.049;    0.67179783;92.748.000;18.208.000;    0.14193554;  0.0076328310;49.628.091;49.791.143;72.445.726;19.796.600
47.07;1;51.199.911;    0.67320214;92.508.000;18.068.000;    0.11062886;  0.0082990185;66.634.905;36.806.750;73.043.050;19.790.000
53.06;1;52.080.325;    0.67783674;92.328.000;17.728.000;   0.089520329;  0.0065304883;52.064.737;28.785.961;73.641.891;19.790.000
59.06;1;51.501.576;    0.67480508;91.508.000;17.768.000;    0.10467851;   0.010165064;86.342.037;31.986.839;74.241.856;19.800.000
65.04;1;52.243.329;    0.67868042;92.408.000;17.688.000;    0.11823379;  0.0090099701;73.004.686;37.512.103;74.839.988;19.803.300
71.02;1;52.194.236;    0.67842679;92.008.000;17.628.000;    0.11632870;  0.0073298917;54.668.378;37.866.803;75.437.902;19.806.600
77.01;1;50.015.178;    0.66675097;92.268.000;18.448.000;   0.091796646;  0.0087611933;74.769.822;30.380.049;76.037.270;19.806.600
82.99;1;49.872.863;    0.66595885;91.008.000;18.248.000;   0.089552326;  0.0063782988;48.852.086;31.267.942;76.634.647;19.810.000
88.98;1;49.424.522;    0.66343861;92.068.000;18.628.000;   0.088826097;  0.0082706835;70.000.000;30.334.972;77.234.380;19.810.000
94.98;1;52.807.505;    0.68156672;91.188.000;17.268.000;    0.11581765;  0.0083585399;65.821.129;35.762.374;77.833.521;19.813.300
100.97;1;53.225.954;    0.68367421;93.188.000;17.508.000;   0.094861784;  0.0065524602;52.030.356;29.632.841;78.432.609;19.813.300
106.97;1;49.851.755;    0.66584104;91.468.000;18.348.000;   0.088342766;  0.0076479939;63.170.613;29.943.807;79.033.145;19.826.600
112.96;1;52.168.132;    0.67829176;92.588.000;17.748.000;    0.11682028;  0.0089490543;72.749.028;37.216.295;79.631.942;19.820.000
118.96;1;49.657.415;    0.66475249;91.608.000;18.448.000;   0.077299051;  0.0086391053;75.332.247;24.382.910;80.232.083;19.820.000
124.94;1;52.246.112;    0.67869479;91.368.000;17.488.000;   0.080672680;  0.0084697554;72.692.575;23.142.579;80.830.762;19.820.000
130.94;1;50.495.958;    0.66939940;92.448.000;18.308.000;    0.10612554;  0.0075989901;59.584.526;36.623.260;81.430.223;19.833.300
136.94;1;51.160.282;    0.67299039;92.948.000;18.168.000;    0.10648783;  0.0088028497;73.210.583;35.003.759;82.029.719;19.836.600
142.92;1;52.336.427;    0.67916031;92.468.000;17.668.000;    0.10017193;  0.0086686862;72.714.293;30.830.607;82.627.908;19.836.600
148.90;1;50.703.350;    0.67052889;91.408.000;18.028.000;    0.10148936;  0.0096027299;81.066.574;32.350.059;83.226.466;19.830.000
154.92;1;51.765.742;    0.67619591;94.048.000;18.168.000;    0.11650508;   0.011182125;97.402.043;36.302.820;83.828.317;19.840.000
160.91;1;51.498.782;    0.67479031;93.048.000;18.068.000;   0.096246648;  0.0091202060;78.410.526;30.140.024;84.427.095;19.840.000
166.91;1;49.501.817;    0.66387581;92.608.000;18.708.000;    0.11278690;  0.0089311886;72.512.794;40.028.937;85.027.576;19.843.300
