Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0.00;1;21.014.406;0.35513838;14.004.000;66.640.000;0.098215005;0.021825654;32.892.168;26.926.801;31.433.047;20.060.000
6.54;1;21.359.404;0.36223278;13.764.000;64.440.000;0.10230313;0.024898238;40.572.223;24.326.723;32.087.380;20.073.300
12.21;1;21.155.257;0.35805376;13.844.000;65.440.000;0.098887463;0.019866293;25.837.549;28.045.076;32.654.107;20.073.300
17.89;1;20.874.848;0.35222353;13.744.000;65.840.000;0.10532505;0.022798213;32.366.324;29.379.549;33.222.487;20.076.600
23.56;1;21.555.278;0.36619161;13.804.000;64.040.000;0.10767232;0.021132197;27.295.652;29.375.966;33.789.455;20.070.000
29.23;1;21.543.327;0.36595147;13.624.000;63.240.000;0.078988657;0.017262044;25.447.573;19.952.575;34.356.593;20.070.000
34.92;1;20.229.277;0.33838973;13.764.000;68.040.000;0.080591527;0.017174212;22.566.860;24.704.570;34.925.718;20.080.000
40.57;1;21.086.821;0.35664055;13.504.000;64.040.000;0.11162441;0.024813300;36.198.284;29.232.282;35.490.450;20.080.000
46.25;1;19.638.197;0.32519512;13.244.000;67.440.000;0.085425026;0.019321465;25.674.070;26.261.839;36.058.197;20.083.300
51.93;1;20.682.957;0.34817235;13.204.000;63.840.000;0.088697896;0.025268941;43.283.642;17.651.599;36.626.676;20.086.600
57.61;1;19.121.622;0.31322506;13.584.000;71.040.000;0.092708182;0.022126746;31.522.757;30.241.136;37.195.101;20.086.600
63.30;1;20.388.821;0.34186325;13.424.000;65.840.000;0.084356841;0.018577695;25.530.168;24.192.213;37.763.588;20.086.600
69.07;1;19.933.171;0.33184494;13.124.000;65.840.000;0.093485631;0.021031441;28.176.138;27.453.310;38.340.875;20.090.000
74.75;1;22.075.593;0.37647294;13.784.000;62.440.000;0.094474369;0.018883942;26.036.412;23.978.060;38.908.100;20.090.000
80.44;1;21.087.485;0.35665429;13.884.000;65.840.000;0.076225594;0.017513702;27.202.941;20.000.000;39.477.006;20.093.300
86.21;1;22.035.344;0.37568956;14.464.000;65.640.000;0.10168658;0.020001041;28.224.663;27.449.475;40.053.731;20.093.300
91.87;1;21.579.892;0.36668562;14.424.000;66.840.000;0.11734219;0.025183212;38.596.427;31.639.416;40.620.961;20.093.300
97.56;1;21.619.506;0.36747906;14.364.000;66.440.000;0.10046440;0.021057955;31.318.399;27.264.784;41.188.927;20.106.600
103.22;1;20.170.488;0.33710055;13.724.000;68.040.000;0.086830273;0.019832983;28.913.665;25.542.534;41.755.401;20.100.000
108.90;1;22.979.258;0.39355822;14.624.000;63.640.000;0.12142260;0.024045239;36.407.055;29.661.245;42.323.771;20.100.000
114.57;1;22.590.580;0.38632574;14.964.000;66.240.000;0.076209526;0.019219188;35.240.527;16.000.000;42.891.082;20.100.000
120.25;1;23.141.809;0.39653264;15.144.000;65.440.000;0.082796675;0.018673130;32.689.931;18.671.679;43.458.401;20.100.000
125.92;1;22.150.668;0.37792895;14.584.000;65.840.000;0.099541858;0.023721649;40.884.948;23.124.378;44.025.490;20.113.300
