Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;1;2,1014406;0.35513838;1400.4;666.4;0,098215005;0,021825654;32,892168;26,926801;314,33047;20,06
6.54;1;2,1359404;0.36223278;1376.4;644.4;0,10230313;0,024898238;40,572223;24,326723;320,8738;20,0733
12.21;1;2,1155257;0.35805376;1384.4;654.4;0,098887463;0,019866293;25,837549;28,045076;326,54107;20,0733
17.89;1;2,0874848;0.35222353;1374.4;658.4;0,10532505;0,022798213;32,366324;29,379549;332,22487;20,0766
23.56;1;2,1555278;0.36619161;1380.4;640.4;0,10767232;0,021132197;27,295652;29,375966;337,89455;20,07
29.23;1;2,1543327;0.36595147;1362.4;632.4;0,078988657;0,017262044;25,447573;19,952575;343,56593;20,07
34.92;1;2,0229277;0.33838973;1376.4;680.4;0,080591527;0,017174212;22,56686;24,70457;349,25718;20,08
40.57;1;2,1086821;0.35664055;1350.4;640.4;0,11162441;0,0248133;36,198284;29,232282;354,9045;20,08
46.25;1;1,9638197;0.32519512;1324.4;674.4;0,085425026;0,019321465;25,67407;26,261839;360,58197;20,0833
51.93;1;2,0682957;0.34817235;1320.4;638.4;0,088697896;0,025268941;43,283642;17,651599;366,26676;20,0866
57.61;1;1,9121622;0.31322506;1358.4;710.4;0,092708182;0,022126746;31,522757;30,241136;371,95101;20,0866
63.3;1;2,0388821;0.34186325;1342.4;658.4;0,084356841;0,018577695;25,530168;24,192213;377,63588;20,0866
69.07;1;1,9933171;0.33184494;1312.4;658.4;0,093485631;0,021031441;28,176138;27,45331;383,40875;20,09
74.75;1;2,2075593;0.37647294;1378.4;624.4;0,094474369;0,018883942;26,036412;23,97806;389,081;20,09
80.44;1;2,1087485;0.35665429;1388.4;658.4;0,076225594;0,017513702;27,202941;20;394,77006;20,0933
86.21;1;2,2035344;0.37568956;1446.4;656.4;0,10168658;0,020001041;28,224663;27,449475;400,53731;20,0933
91.87;1;2,1579892;0.36668562;1442.4;668.4;0,11734219;0,025183212;38,596427;31,639416;406,20961;20,0933
97.56;1;2,1619506;0.36747906;1436.4;664.4;0,1004644;0,021057955;31,318399;27,264784;411,88927;20,1066
103.22;1;2,0170488;0.33710055;1372.4;680.4;0,086830273;0,019832983;28,913665;25,542534;417,55401;20,1
108.9;1;2,2979258;0.39355822;1462.4;636.4;0,1214226;0,024045239;36,407055;29,661245;423,23771;20,1
114.57;1;2,259058;0.38632574;1496.4;662.4;0,076209526;0,019219188;35,240527;16;428,91082;20,1
120.25;1;2,3141809;0.39653264;1514.4;654.4;0,082796675;0,01867313;32,689931;18,671679;434,58401;20,1
125.92;1;2,2150668;0.37792895;1458.4;658.4;0,099541858;0,023721649;40,884948;23,124378;440,2549;20,1133
131.6;1;2,3851992;0.40919283;1508.4;632.4;0,10259916;0,020143147;32,167326;23,624252;445,92969;20,1166
137.28;1;2,1878926;0.3726263;1532.4;700.4;0,092233157;0,02008712;33,626431;25,210691;451,61032;20,1166
142.96;1;2,2625665;0.38698568;1530.4;676.4;0,10007725;0,01868335;26,926801;27,449475;457,28782;20,11
148.62;1;2,3576159;0.40433925;1566.4;664.4;0,098881871;0,020132872;34,163693;23,801813;462,95548;20,12
154.3;1;2,223467;0.37955003;1508.4;678.4;0,098903928;0,021752871;36,577243;25,298221;468,63485;20,12
159.98;1;2,3111888;0.39598733;1586.4;686.4;0,071572432;0,015518426;27,697615;17,555926;474,30963;20,12
165.63;1;2,4674257;0.42320321;1560.4;632.4;0,11122858;0,01810575;25,043121;26,639899;479,96826;20,1233
171.33;1;2,2543453;0.38543707;1556.4;690.4;0,084631568;0,018805392;33,1472;21,344295;485,6605;20,1266
177;1;2,2032843;0.3756408;1556.4;706.4;0,090142759;0,02080205;37,32926;23,413896;491,32808;20,1266
182.66;1;2,2172855;0.37835793;1457.2;657.2;0,094490797;0,020255969;32,088693;23,97806;496,99482;20,13
191.27;1;2,4199598;0.41519781;1445.2;597.2;0,10305974;0,020441472;31,82518;21,769123;505,60282;20,13
196.94;1;2,3888889;0.40983607;1393.2;583.2;0,1341869;0,024199416;32,763908;29,749834;511,26832;20,13
202.62;1;2,2841704;0.3910182;1437.2;629.2;0,10072602;0,020216137;30,334972;24,361315;516,95194;20,1333
208.3;1;2,1852776;0.37211124;1401.2;641.2;0,1065318;0,02391025;37,598992;26,096985;522,62926;20,1333
213.98;1;2,1878109;0.37261022;1407.2;643.2;0,084539198;0,015586566;18,784092;23,323808;528,31632;20,1466
219.65;1;2,0487225;0.34398753;1379.2;673.2;0,08462451;0,01891766;27,468642;24,361315;533,98638;20,1466
225.32;1;2,1634435;0.36777756;1387.2;641.2;0,076771881;0,017129158;26,341882;19,221698;539,66081;20,1466
231.11;1;2,0793746;0.35051748;1383.2;665.2;0,1317633;0,027120029;35,552778;38,528185;545,43795;20,14
236.8;1;2,2507896;0.38476487;1425.2;633.2;0,10737144;0,022695856;35,096858;25,870121;551,12962;20,14
242.47;1;2,2625945;0.38699093;1437.2;635.2;0,090627618;0,02001367;32,479953;21,006265;556,79847;20,14
248.13;1;2,1702806;0.36914102;1361.2;627.2;0,0783433;0,016918652;24,77265;19,552897;562,46646;20,1533
253.81;1;2,1598259;0.36705373;1389.2;643.2;0,091556106;0,018817941;26,353867;24,38291;568,14548;20,1533
259.48;1;2,1172161;0.35840188;1387.2;655.2;0,066259353;0,014734329;22,176327;17,627729;573,81242;20,1566
265.16;1;1,9894614;0.33098316;1359.2;683.2;0,064271182;0,01644256;26,612225;17,555926;579,48842;20,1566
270.83;1;2,2092131;0.37679426;1381.2;625.2;0,098818842;0,019620448;26,891595;25,177266;585,15852;20,15
276.47;1;2,1425061;0.36356529;1395.2;651.2;0,099538888;0,020209779;27,590998;27,376517;590,80553;20,15
282.16;1;2,2092131;0.37679426;1381.2;625.2;0,10373686;0,022670674;34,564966;24,840544;596,48685;20,16
287.84;1;2,4399171;0.41859064;1413.2;579.2;0,12541047;0,019213513;20,820031;28,52146;602,17406;20,16
293.51;1;2,1225728;0.35950253;1399.2;659.2;0,090183156;0,019458282;28,595178;24,554987;607,8451;20,1633
299.19;1;2,1540861;0.3659019;1381.2;641.2;0,070783843;0,015786448;24,083189;17,859098;613,52137;20,1633
304.86;1;2,2831565;0.39083014;1377.2;603.2;0,10277487;0,022074597;33,751413;22,775795;619,19475;20,1666
310.49;1;2,1311787;0.3612629;1345.2;631.2;0,10945166;0,0246729;36,738049;27,45331;624,82081;20,1666
316.16;1;2,0377358;0.34161491;1339.2;657.2;0,088695965;0,021770429;33,916306;23,265063;630,48917;20,17
321.83;1;2,1452335;0.36411717;1341.2;625.2;0,10027287;0,021138063;29,28984;25,837549;636,1663;20,17
327.51;1;2,1124845;0.35742653;1367.2;647.2;0,082785789;0,018786474;28,417934;21,50153;641,84041;20,17
333.19;1;2,2911726;0.39231385;1391.2;607.2;0,10688448;0,018416969;21,423057;26,7385;647,52584;20,1733
338.86;1;2,1989631;0.37479741;1357.2;617.2;0,11079277;0,024495406;36,966557;26,161442;653,19408;20,1866
344.55;1;2,168136;0.36871397;1377.2;635.2;0,094591826;0,020998659;31,957208;23,467783;658,88408;20,1866
350.21;1;2,1028959;0.35544083;1365.2;649.2;0,097470147;0,018646631;21,180925;28,354894;664,54892;20,18
355.89;1;2,2035809;0.37569861;1329.2;603.2;0,08150698;0,017208694;24,361315;19,379859;670,22162;20,18
361.57;1;2,1760966;0.37029624;1369.2;629.2;0,10312224;0,023633886;36,875323;24,533543;675,90829;20,18
367.25;1;2,1822338;0.37151067;1336.4;612.4;0,11983495;0,023408351;29,717973;30,748556;681,57724;20,1933
375.86;1;2,2207464;0.37902592;1404.4;632.4;0,094960524;0,019497281;28,503001;23,801813;690,1958;20,1966
