EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
501.00;20.153.600;14.095.547;20.373.081;20.643.300
502.00;19.893.600;20.483.489;20.384.666;20.646.600
503.00;19.629.600;19.417.747;20.396.220;20.646.600
504.00;19.305.600;10.683.320;20.407.827;20.646.600
505.00;18.585.600;13.996.825;20.419.438;20.646.600
506.00;18.005.600;13.574.486;20.430.642;20.646.600
507.00;17.545.600;14.883.249;20.442.499;20.646.600
508.00;16.897.600;69.230.693;20.454.065;20.646.600
509.00;16.449.600;82.451.332;20.465.763;20.646.600
510.00;15.969.600;17.345.637;20.477.209;20.646.600
511.00;15.673.600;11.712.102;20.488.749;20.646.600
512.00;15.281.600;10.636.624;20.500.447;20.650.000
513.00;14.809.600;10.348.591;20.511.968;20.650.000
514.00;14.625.600;16.066.528;20.523.293;20.650.000
515.00;14.029.600;62.949.715;20.535.061;20.650.000
516.00;13.781.600;13.772.114;20.546.670;20.650.000
517.00;13.473.600;13.841.002;20.558.180;20.650.000
518.00;13.117.600;13.023.739;20.569.433;20.650.000
519.00;12.645.600;14.874.288;20.581.309;20.650.000
520.00;12.513.600;12.462.210;20.592.846;20.650.000
521.00;12.313.600;64.442.912;20.604.469;20.650.000
522.00;11.941.600;66.252.044;20.615.906;20.650.000
523.00;11.705.600;11.011.106;20.626.398;20.650.000
524.00;11.509.600;75.058.496;20.638.054;20.650.000
525.00;11.433.600;80.619.821;20.649.286;20.650.000
526.00;10.857.600;83.223.928;20.661.333;20.650.000
527.00;10.705.600;87.024.901;20.672.769;20.650.000
528.00;10.469.600;99.142.994;20.684.052;20.650.000
529.00;10.173.600;92.769.727;20.696.015;20.653.300
530.00;10.009.600;12.749.902;20.707.549;20.653.300
531.00;95.176.000;11.624.495;20.719.053;20.653.300
532.00;90.976.000;13.776.631;20.730.630;20.653.300
533.00;88.536.000;11.188.089;20.742.246;20.653.300
534.00;87.856.000;10.864.826;20.753.734;20.653.300
535.00;83.696.000;81.366.114;20.765.221;20.653.300
536.00;79.896.000;14.353.629;20.776.729;20.653.300
537.00;77.656.000;10.720.696;20.788.370;20.653.300
538.00;73.696.000;10.917.061;20.799.921;20.666.600
539.00;72.136.000;66.412.850;20.811.635;20.666.600
540.00;67.336.000;76.140.222;20.823.141;20.666.600
541.00;66.136.000;88.453.378;20.834.780;20.666.600
542.00;64.536.000;83.915.301;20.845.909;20.666.600
543.00;61.136.000;10.115.774;20.858.047;20.666.600
544.00;57.656.000;74.773.733;20.870.520;20.666.600
545.00;54.576.000;88.804.404;20.882.090;20.666.600
546.00;51.656.000;66.198.355;20.893.628;20.666.600
547.00;50.576.000;81.932.221;20.905.340;20.660.000
548.00;47.416.000;72.651.375;20.916.826;20.660.000
549.00;46.256.000;78.202.018;20.928.531;20.660.000
550.00;43.736.000;88.252.164;20.940.970;20.660.000
551.00;42.936.000;83.063.563;20.952.555;20.660.000
552.00;41.336.000;51.656.988;20.964.055;20.660.000
553.00;39.576.000;65.060.655;20.975.583;20.660.000
554.00;37.416.000;82.505.219;20.986.765;20.660.000
555.00;35.696.000;66.452.991;20.998.812;20.660.000
556.00;35.216.000;77.791.745;21.009.835;20.660.000
557.00;32.776.000;65.060.655;21.021.842;20.660.000
558.00;32.456.000;68.572.751;21.033.051;20.660.000
559.00;32.056.000;55.055.528;21.044.893;20.660.000
560.00;29.136.000;66.345.895;21.056.481;20.660.000
561.00;26.776.000;50.614.008;21.068.018;20.660.000
562.00;27.616.000;74.523.673;21.079.555;20.660.000
563.00;26.816.000;64.000.000;21.091.095;20.673.300
564.00;24.696.000;33.967.305;21.102.814;20.673.300
565.00;24.176.000;57.441.758;21.113.979;20.673.300
566.00;24.496.000;43.081.318;21.125.969;20.673.300
567.00;22.536.000;43.019.375;21.137.556;20.673.300
568.00;21.776.000;62.481.997;21.149.177;20.673.300
569.00;20.256.000;70.047.603;21.160.662;20.673.300
570.00;19.056.000;49.888.765;21.172.235;20.673.300
571.00;20.616.000;62.666.667;21.183.519;20.673.300
572.00;19.176.000;63.399.965;21.195.558;20.673.300
573.00;18.536.000;52.000.000;21.207.005;20.676.600
574.00;17.656.000;48.898.989;21.218.626;20.676.600
575.00;16.896.000;62.595.705;21.230.238;20.676.600
576.00;15.536.000;36.660.606;21.241.838;20.676.600
577.00;16.056.000;49.261.209;21.252.913;20.676.600
578.00;15.136.000;48.368.952;21.264.840;20.676.600
579.00;14.136.000;40.022.216;21.276.316;20.676.600
580.00;14.296.000;38.389.813;21.287.804;20.670.000
581.00;13.976.000;47.721.414;21.299.603;20.670.000
582.00;12.376.000;22.350.739;21.311.105;20.670.000
583.00;12.256.000;33.199.732;21.322.527;20.670.000
584.00;12.216.000;52.136.573;21.334.145;20.670.000
585.00;11.616.000;49.602.867;21.345.708;20.670.000
586.00;11.216.000;36.854.067;21.357.356;20.670.000
587.00;10.416.000;47.777.261;21.368.930;20.670.000
588.00;96.160.000;47.777.261;21.380.419;20.680.000
589.00;97.760.000;39.009.970;21.391.967;20.680.000
590.00;99.360.000;29.089.899;21.403.350;20.680.000
591.00;92.560.000;29.962.940;21.415.095;20.680.000
592.00;81.360.000;36.295.087;21.426.955;20.680.000
593.00;86.160.000;64.069.407;21.439.392;20.680.000
594.00;77.360.000;30.433.899;21.451.016;20.680.000
595.00;83.760.000;43.430.660;21.462.595;20.680.000
596.00;75.360.000;45.723.809;21.474.145;20.680.000
597.00;77.760.000;29.089.899;21.485.670;20.680.000
598.00;69.360.000;18.903.263;21.497.291;20.683.300
599.00;66.160.000;22.666.667;21.508.840;20.683.300
600.00;64.560.000;33.862.467;21.520.527;20.683.300
