EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
501.00;61.434.400;17.119.190;11.535.482;20.003.300
502.00;61.750.400;23.064.740;11.651.193;20.006.600
503.00;62.530.400;25.054.252;11.767.749;20.006.600
504.00;61.246.400;36.249.996;11.881.938;20.006.600
505.00;61.586.400;19.596.372;11.997.458;20.006.600
506.00;60.362.400;39.643.074;12.113.409;20.006.600
507.00;59.962.400;23.301.311;12.229.353;20.006.600
508.00;58.506.400;19.614.507;12.341.878;20.006.600
509.00;58.274.400;28.153.547;12.459.929;20.006.600
510.00;55.586.400;31.872.245;12.575.896;20.010.000
511.00;54.154.400;21.845.925;12.691.974;20.010.000
512.00;53.722.400;26.304.541;12.806.534;20.010.000
513.00;52.382.400;24.079.867;12.923.153;20.010.000
514.00;51.170.400;24.010.738;13.038.052;20.010.000
515.00;50.050.400;28.293.384;13.152.957;20.010.000
516.00;48.542.400;30.833.171;13.269.064;20.010.000
517.00;46.622.400;29.973.618;13.384.319;20.010.000
518.00;45.778.400;23.532.106;13.497.551;20.010.000
519.00;44.778.400;13.151.426;13.615.598;20.010.000
520.00;43.734.400;21.366.641;13.731.605;20.010.000
521.00;42.606.400;16.251.359;13.847.190;20.010.000
522.00;41.582.400;21.314.992;13.962.354;20.010.000
523.00;40.238.400;17.770.888;14.076.453;20.010.000
524.00;39.570.400;17.803.370;14.194.006;20.010.000
525.00;39.082.400;19.623.569;14.308.405;20.010.000
526.00;37.842.400;19.505.441;14.424.188;20.010.000
527.00;37.122.400;18.321.087;14.541.081;20.010.000
528.00;35.854.400;17.698.713;14.656.553;20.010.000
529.00;35.226.400;10.207.622;14.767.878;20.010.000
530.00;33.714.400;18.924.411;14.886.856;20.010.000
531.00;33.450.400;24.826.151;15.002.620;20.013.300
532.00;32.162.400;13.320.661;15.117.275;20.013.300
533.00;30.994.400;23.815.961;15.233.480;20.013.300
534.00;30.302.400;17.876.614;15.348.994;20.013.300
535.00;29.378.400;11.162.636;15.464.572;20.013.300
536.00;28.686.400;20.192.848;15.580.867;20.013.300
537.00;27.650.400;98.061.205;15.696.363;20.013.300
538.00;26.798.400;18.019.249;15.811.426;20.013.300
539.00;25.434.400;13.376.596;15.927.396;20.013.300
540.00;24.722.400;17.928.748;16.043.664;20.013.300
541.00;24.578.400;22.386.107;16.159.111;20.013.300
542.00;23.210.400;14.659.998;16.270.607;20.013.300
543.00;22.410.400;13.524.628;16.391.164;20.026.600
544.00;21.374.400;11.531.599;16.505.625;20.026.600
545.00;20.630.400;88.282.375;16.621.763;20.026.600
546.00;19.722.400;16.546.769;16.737.682;20.026.600
547.00;19.122.400;12.858.892;16.853.424;20.026.600
548.00;18.546.400;10.832.872;16.967.393;20.026.600
549.00;17.974.400;81.103.500;17.084.686;20.026.600
550.00;17.214.400;11.059.435;17.199.622;20.020.000
551.00;16.266.400;94.290.332;17.314.983;20.020.000
552.00;15.686.400;86.779.414;17.431.179;20.020.000
553.00;15.434.400;19.930.992;17.545.153;20.020.000
554.00;14.790.400;11.222.200;17.662.263;20.020.000
555.00;14.090.400;10.624.082;17.778.226;20.020.000
556.00;13.546.400;11.423.951;17.893.866;20.020.000
557.00;13.058.400;99.500.977;18.009.888;20.020.000
558.00;12.746.400;84.126.888;18.126.063;20.020.000
559.00;12.254.400;11.562.391;18.241.764;20.020.000
560.00;11.926.400;65.265.271;18.357.319;20.020.000
561.00;11.518.400;14.338.139;18.471.964;20.020.000
562.00;10.938.400;10.506.294;18.587.140;20.020.000
563.00;10.730.400;53.483.123;18.702.947;20.020.000
564.00;10.462.400;15.293.281;18.819.299;20.020.000
565.00;10.170.400;10.162.239;18.930.357;20.020.000
566.00;95.744.000;14.022.205;19.049.997;20.020.000
567.00;95.824.000;72.000.000;19.164.297;20.020.000
568.00;92.824.000;10.448.604;19.270.124;20.020.000
569.00;90.984.000;12.599.118;19.385.347;20.020.000
570.00;86.544.000;10.310.728;19.502.387;20.020.000
571.00;84.744.000;83.106.358;19.617.704;20.020.000
572.00;82.584.000;10.986.052;19.733.427;20.033.300
573.00;80.224.000;78.835.976;19.849.219;20.033.300
574.00;78.024.000;13.064.626;19.964.851;20.033.300
575.00;77.024.000;92.529.875;20.080.875;20.033.300
576.00;73.224.000;73.527.017;20.195.511;20.033.300
577.00;70.624.000;95.925.897;20.310.996;20.033.300
578.00;68.064.000;98.666.667;20.427.278;20.033.300
579.00;69.104.000;76.640.575;20.542.770;20.033.300
580.00;66.464.000;74.666.667;20.657.437;20.033.300
581.00;62.704.000;56.316.566;20.774.094;20.033.300
582.00;61.944.000;53.748.385;20.890.978;20.033.300
583.00;58.424.000;38.666.667;21.005.647;20.036.600
584.00;57.064.000;66.679.999;21.121.645;20.036.600
585.00;58.024.000;99.964.438;21.236.889;20.036.600
586.00;54.504.000;78.304.250;21.353.424;20.036.600
587.00;53.144.000;67.263.991;21.467.976;20.036.600
588.00;51.664.000;49.817.445;21.580.413;20.036.600
589.00;50.584.000;86.912.472;21.700.325;20.036.600
590.00;49.304.000;10.144.730;21.815.378;20.036.600
591.00;47.944.000;47.046.077;21.932.506;20.036.600
592.00;46.504.000;50.048.865;22.047.246;20.036.600
593.00;44.784.000;10.140.348;22.164.673;20.030.000
594.00;44.104.000;78.304.250;22.279.374;20.030.000
595.00;42.904.000;39.754.804;22.391.805;20.030.000
596.00;41.384.000;47.497.368;22.509.273;20.030.000
597.00;41.064.000;61.694.588;22.625.183;20.030.000
598.00;39.944.000;66.999.171;22.742.366;20.030.000
599.00;37.624.000;90.440.895;22.867.740;20.030.000
600.00;37.664.000;53.599.337;22.982.002;20.030.000
