Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;1;2,4856369;0.42621676;18344;7380;0,029916633;0,004472996;62,885025;85,145077;3970,5789;21,26
5.02;1;2,4919225;0.4272496;18510;7428;0,029825039;0,005396331;101,61952;78,999001;3975,6018;21,26
10.68;1;2,5399891;0.43502651;18674;7352;0,026160621;0,004607553;86,740994;67,583866;3981,2577;21,26
16.35;1;2,4734014;0.42419554;18412;7444;0,030902252;0,005521219;101,52106;83,456891;3986,938;21,26
22;1;2,4683203;0.42335199;18310;7418;0,02651301;0,005085258;98,847038;68,884342;3992,5834;21,26
27.66;1;2,4785596;0.42504939;18034;7276;0,02531939;0,004450162;78,965682;67,152615;3998,2435;21,26
33.33;1;2,4713081;0.42384832;18174;7354;0,026200605;0,005343251;107,66322;64,659432;4003,9139;21,26
39.01;1;2,4397509;0.41856254;18020;7386;0,026973993;0,005154338;97,587747;71,192844;4009,593;21,26
44.66;1;2,4639092;0.42261765;18228;7398;0,022244287;0,004988585;106,11216;51,050027;4015,2447;21,26
50.35;1;2,4832288;0.42582009;18212;7334;0,027257965;0,006110436;129,93602;61,179632;4020,9309;21,26
56.02;1;2,5324213;0.43381613;18512;7310;0,026473452;0,005953159;129,00918;56,95982;4026,5976;21,2733
61.77;1;2,4954004;0.42781949;18446;7392;0,029124807;0,005568954;109,4628;74,291035;4032,3553;21,2733
67.46;1;2,466113;0.42298477;18412;7466;0,019702157;0,003597039;67,36546;53,024324;4038,0442;21,2733
73.14;1;2,4890333;0.42677532;18384;7386;0,021798091;0,004658094;97,704172;51,411651;4043,7185;21,2766
78.8;1;2,504565;0.42931576;18654;7448;0,030237448;0,005871443;118,2139;76,535509;4049,3867;21,2766
84.46;1;2,5179004;0.43147907;18708;7430;0,026219472;0,00560715;119,96842;60,959003;4055,0431;21,2766
90.16;1;2,505594;0.42948328;18812;7508;0,02577478;0,004301385;76;71,028534;4060,7412;21,27
95.92;1;2,4629196;0.42245266;18930;7686;0,033517075;0,00608499;116,41215;93,307641;4066,5053;21,27
101.61;1;2,4215087;0.41546254;19004;7848;0,024603412;0,005217454;111,86834;64,992307;4072,1909;21,28
107.27;1;2,4266255;0.41633541;18884;7782;0,024044043;0,004022377;68,185505;71,805292;4077,8527;21,28
112.96;1;2,3899743;0.41002502;18594;7780;0,024448058;0,004807584;94,900502;68,97139;4083,5419;21,2833
