Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;Sample;1;2,6837286;0.45707184;16882.8;6290.8;0,16295318;0,040555584;824,0106;227,21888;6114,8958;21,86
0;Sample2;1;3,8328798;0.58616806;16338.8;4262.8;0,22891981;0,052424307;928,44851;78,376957;6122,421;21,8666
13.24;Sample;1;2,9452948;0.49306703;11930.8;4050.8;0,049581623;0,009406321;123,65912;53,734239;6129,7971;21,8533
13.24;Sample2;1;2,6239872;0.44812167;10492.8;3998.8;0,12021009;0,035226607;463,28438;48,85855;6137,0587;21,85
27.83;Sample;1;3,0460088;0.5056857;14988.8;4920.8;0,028509455;0,005456552;90,314072;35,243514;6144,4271;21,85
27.83;Sample2;1;3,669533;0.57169165;13484.8;3674.8;0,17222774;0,040848891;606,52869;49,270467;6151,6887;21,85
42.54;Sample;1;3,2649803;0.53106466;16934.8;5186.8;0,040832193;0,007781284;144,43429;47,441931;6159,1314;21,85
42.54;Sample2;1;3,9160235;0.59316712;15220.8;3886.8;0,10203247;0,021084297;342,73206;50,950957;6166,386;21,85
57.17;Sample;1;3,0396745;0.5049106;16732.8;5504.8;0,040089499;0,006095273;102,49929;64,295371;6173,6933;21,85
57.17;Sample2;1;4,0608616;0.60481038;15986.8;3936.8;0,078541663;0,013860239;230,79314;50,671283;6180,9932;21,85
71.77;Sample;1;3,1675168;0.52009792;17138.8;5410.8;0,045132483;0,006584192;112,55782;68,418219;6188,3911;21,85
71.77;Sample2;1;4,4004034;0.62965729;18326.8;4164.8;0,068867766;0,009942818;182,43442;50,295966;6195,7446;21,85
86.59;Sample;1;3,2923918;0.53405931;18538.8;5630.8;0,046746031;0,005251156;82,256339;75,943192;6203,0513;21,8466
86.59;Sample2;1;4,156168;0.61211504;20268.8;4876.8;0,062777519;0,008161202;163,58098;62,265983;6210,3736;21,85
101.2;Sample;1;3,1203142;0.51460013;18112.8;5804.8;0,037778661;0,004911312;81,568828;65,238026;6217,7939;21,85
101.2;Sample2;1;4,1288199;0.61004675;21076.8;5104.8;0,0595764;0,007383785;152,21591;63,769321;6225,2425;21,85
116.04;Sample;1;3,0764301;0.50937463;18048.8;5866.8;0,047184201;0,010768415;223,22233;53,214561;6232,5954;21,8533
116.04;Sample2;1;4,2825276;0.62139336;21578.8;5038.8;0,077854428;0,009325884;195,30219;79,444121;6239,9716;21,85
130.75;Sample;1;3,349432;0.54016985;18752.8;5598.8;0,035094249;0,004977484;93,317793;51,624148;6247,4133;21,85
130.75;Sample2;1;4,040743;0.60323309;21580.8;5340.8;0,044380208;0,006561707;143,90055;46,611496;6254,7663;21,8533
145.57;Sample;1;3,2547579;0.529938;18606.8;5716.8;0,036829697;0,005474063;103,26359;56,374686;6262,1729;21,85
145.57;Sample2;1;3,7145006;0.57577691;21732.8;5850.8;0,040542433;0,005989749;133,06429;52,865271;6269,5382;21,8666
160.41;Sample;1;3,2257097;0.52670672;18498.8;5734.8;0,047499926;0,009249653;188,746;60,889892;6276,8962;21,86
160.41;Sample2;1;3,6535147;0.57021732;21704.8;5940.8;0,049835303;0,006048828;125,35088;73,413035;6284,4067;21,86
175.19;Sample;1;3,2252103;0.52665078;18708.8;5800.8;0,038087663;0,005520728;103,27684;60,558801;6291,745;21,86
175.19;Sample2;1;3,8023224;0.58353483;22135.6;5821.6;0,053257724;0,005903879;121,20361;75,052262;6299,1375;21,8666
192.88;Sample;1;3,2940326;0.53423735;19143.6;5811.6;0,04013854;0,005500297;103,05951;63,529521;6309,5565;21,8766
192.88;Sample2;1;3,851675;0.58777123;21937.6;5695.6;0,038455629;0,004927703;106,34601;49,71286;6316,9725;21,8766
207.79;Sample;1;3,2476751;0.52915419;18997.6;5849.6;0,050298242;0,010994152;235,24232;54,413621;6324,4011;21,87
207.79;Sample2;1;3,8320051;0.58609315;21733.6;5671.6;0,043199562;0,006102524;133,98822;53,530119;6331,8974;21,88
222.7;Sample;1;3,1619773;0.51945918;19419.6;6141.6;0,036908755;0,006693345;141,07781;56,112669;6339,3707;21,8833
222.7;Sample2;1;3,7941487;0.58282479;21579.6;5687.6;0,045747022;0,005544995;115,25624;61,481705;6346,7694;21,8833
237.54;Sample;1;3,1132161;0.51376247;19325.6;6207.6;0,046865887;0,007462468;149,30294;80,203688;6354,1968;21,8866
237.54;Sample2;1;3,8859705;0.59066474;21837.6;5619.6;0,037179147;0,005610234;125,47174;42,990819;6361,6427;21,89
252.45;Sample;1;3,063366;0.50779723;19279.6;6293.6;0,032951336;0,005266394;104,93005;58,392501;6369,0408;21,89
252.45;Sample2;1;3,9317514;0.59446455;21937.6;5579.6;0,040270988;0,005006788;107,25278;50,21847;6376,2818;21,8933
267.08;Sample;1;3,226005;0.52673979;19709.6;6109.6;0,032009611;0,005179106;106,86342;50,770899;6383,675;21,9066
267.08;Sample2;1;3,9901147;0.59920761;22119.6;5543.6;0,056437708;0,005742198;115,11002;72,910905;6391,0822;21,9
281.92;Sample;1;3,2903247;0.53383482;19819.6;6023.6;0,035823274;0,005300029;106,52304;57,033693;6398,4335;21,9
281.92;Sample2;1;3,9697035;0.5975615;22117.6;5571.6;0,050148944;0,005447366;112,2966;64,450716;6405,7701;21,9
296.56;Sample;1;3,2391632;0.52820878;19757.6;6099.6;0,032489017;0,005095853;104,24667;52,030356;6413,043;21,9166
296.56;Sample2;1;3,9832841;0.59865824;22113.6;5551.6;0,056072067;0,005844793;118,42475;72,272875;6420,5534;21,9166
311.37;Sample;1;3,3019901;0.53509889;19777.6;5989.6;0,034238414;0,004975072;99,090602;54,374917;6427,8909;21,91
311.37;Sample2;1;4,0173989;0.60138709;21981.6;5471.6;0,053639566;0,005826294;119,75062;66,698063;6435,1921;21,9233
325.98;Sample;1;3,2284559;0.5270141;19795.6;6131.6;0,032483808;0,004983797;101,21265;53,135378;6442,5912;21,9233
325.98;Sample2;1;4,0052654;0.60042079;22211.6;5545.6;0,038077903;0,005442378;122,16555;43,00306;6449,9676;21,93
340.78;Sample;1;3,3128413;0.53626859;19895.6;6005.6;0,041435703;0,00591613;117,71419;66,179978;6457,247;21,9266
340.78;Sample2;1;4,0098826;0.60078904;22397.6;5585.6;0,043535484;0,007079127;163,7842;44,824805;6464,6235;21,93
355.41;Sample;1;3,354997;0.54075743;19967.6;5951.6;0,039311382;0,005017757;95,006925;63,728041;6471,9991;21,9466
355.41;Sample2;1;3,9693005;0.59752886;22083.6;5563.6;0,053979281;0,006381109;135,56199;67,513741;6479,472;21,9466
370.32;Sample;1;3,2751769;0.53218311;20176.4;6160.4;0,034664751;0,005082559;103,49167;57,033693;6486,8256;21,94
370.32;Sample2;1;3,9869853;0.59895611;22424.4;5624.4;0,046256082;0,005509275;119,20703;58;6497,0944;21,94
387.87;Sample;1;3,3642971;0.54173606;20180.4;5998.4;0,03841636;0,005162539;101,70235;61,462869;6504,4666;21,9533
387.87;Sample2;1;3,992368;0.59938851;22598.4;5660.4;0,033468395;0,004291531;95,613256;40,964683;6511,9897;21,9566
402.78;Sample;1;3,2183482;0.52588076;20122.4;6252.4;0,037782393;0,005728039;117,58625;63,661936;6519,2453;21,95
402.78;Sample2;1;4,0712601;0.6056207;22784.4;5596.4;0,043566327;0,004654864;98,855557;54,743421;6526,5751;21,95
417.42;Sample;1;3,3071084;0.53565135;20042.4;6060.4;0,040140998;0,00533307;103,04419;66,634905;6534,0657;21,9633
417.42;Sample2;1;4,0999568;0.60783981;22756.4;5550.4;0,055118663;0,006410509;140,16156;66,326148;6541,4632;21,96
432.25;Sample;1;3,3537614;0.5406271;20204.4;6024.4;0,027626262;0,004036368;82,562895;43,088648;6548,7257;21,97
432.25;Sample2;1;3,9188756;0.59340301;22472.4;5734.4;0,055004447;0,005212983;100,87094;76,259943;6556,2182;21,97
447.06;Sample;1;3,2882978;0.53361448;19928.4;6060.4;0,030541433;0,004238902;83,172617;50,285501;6563,6419;21,9733
447.06;Sample2;1;4,0366867;0.60291356;22534.4;5582.4;0,044213596;0,004933812;105,1355;55,31917;6570,9738;21,98
461.78;Sample;1;3,2621214;0.53075011;20076.4;6154.4;0,036267249;0,006300979;135,48742;54,374917;6578,3729;21,9733
461.78;Sample2;1;4,0335947;0.60266964;22428.4;5560.4;0,056426916;0,006333989;134,60195;70,264163;6585,7021;21,98
476.48;Sample;1;3,2994565;0.53482492;20154.4;6108.4;0,043403722;0,006164932;123,8369;71,05076;6593,0716;21,9933
476.48;Sample2;1;3,9200891;0.5935033;22526.4;5746.4;0,039889864;0,005406025;121,74175;49,545301;6600,4995;21,9933
491.3;Sample;1;3,3028991;0.5351971;20142.4;6098.4;0,047516907;0,006478171;127,49902;78,785518;6607,853;21,99
491.3;Sample2;1;3,99522;0.59961724;22734.4;5690.4;0,045890745;0,007270519;170,16648;49,579283;6615,2517;21,9966
506.05;Sample;1;3,3604044;0.54132695;20076.4;5974.4;0,033073351;0,006187934;135,11399;42,905036;6622,65;22,0033
506.05;Sample2;1;3,9489412;0.59587315;22676.4;5742.4;0,048120419;0,005484959;118,01427;63,272177;6630,0998;22,0033
520.88;Sample;1;3,2780851;0.53250112;19912.4;6074.4;0,03684391;0,005122444;100,41074;61,01596;6637,4312;22,01
520.88;Sample2;1;3,9136138;0.59296761;22434.4;5732.4;0,038936951;0,00410289;84,210263;52,817461;6644,8509;22,01
535.71;Sample;1;3,293928;0.53422601;20028.4;6080.4;0,034236879;0,005113624;104,28604;54,697253;6652,1562;22,0133
535.71;Sample2;1;3,9245874;0.59387461;22544.4;5744.4;0,044427996;0,00505327;107,85858;58,936183;6659,6238;22,0266
550.43;Sample;1;3,3148575;0.53648527;20142.4;6076.4;0,032415388;0,004480102;88,894971;53,024324;6666,9084;22,0266
550.43;Sample2;1;3,8123045;0.5843987;21936;5754;0,041351515;0,005768551;127,43956;52,705737;6674,2773;22,02
568.08;Sample;1;3,2587162;0.5303749;20002;6138;0,032099068;0,004626925;92,564629;53,372573;6684,6899;22,0366
568.08;Sample2;1;3,9106957;0.59272573;22596;5778;0,043863824;0,005249163;114,32548;57,84007;6692,1422;22,02
582.92;Sample;1;3,2963571;0.53448934;20088;6094;0,033444194;0,0043973;84,524677;56,260672;6699,5148;22,03
582.92;Sample2;1;3,9577911;0.59659454;22504;5686;0,041653673;0,004765405;101,93909;54,015592;6706,9583;22,04
597.73;Sample;1;3,3894312;0.5443601;20140;5942;0,035230672;0,005997317;128,43675;48,772296;6714,3939;22,0433
