Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0.00;        Sample;1;26.837.286;    0.45707184;16.882.800;62.908.000;    0.16295318;   0.040555584;82.401.060;22.721.888;61.148.958;21.860.000
0.00;       Sample2;1;38.328.798;    0.58616806;16.338.800;42.628.000;    0.22891981;   0.052424307;92.844.851;78.376.957;61.224.210;21.866.600
13.24;        Sample;1;29.452.948;    0.49306703;11.930.800;40.508.000;   0.049581623;  0.0094063207;12.365.912;53.734.239;61.297.971;21.853.300
13.24;       Sample2;1;26.239.872;    0.44812167;10.492.800;39.988.000;    0.12021009;   0.035226607;46.328.438;48.858.550;61.370.587;21.850.000
27.83;        Sample;1;30.460.088;    0.50568570;14.988.800;49.208.000;   0.028509455;  0.0054565517;90.314.072;35.243.514;61.444.271;21.850.000
27.83;       Sample2;1;36.695.330;    0.57169165;13.484.800;36.748.000;    0.17222774;   0.040848891;60.652.869;49.270.467;61.516.887;21.850.000
42.54;        Sample;1;32.649.803;    0.53106466;16.934.800;51.868.000;   0.040832193;  0.0077812840;14.443.429;47.441.931;61.591.314;21.850.000
42.54;       Sample2;1;39.160.235;    0.59316712;15.220.800;38.868.000;    0.10203247;   0.021084297;34.273.206;50.950.957;61.663.860;21.850.000
57.17;        Sample;1;30.396.745;    0.50491060;16.732.800;55.048.000;   0.040089499;  0.0060952734;10.249.929;64.295.371;61.736.933;21.850.000
57.17;       Sample2;1;40.608.616;    0.60481038;15.986.800;39.368.000;   0.078541663;   0.013860239;23.079.314;50.671.283;61.809.932;21.850.000
71.77;        Sample;1;31.675.168;    0.52009792;17.138.800;54.108.000;   0.045132483;  0.0065841922;11.255.782;68.418.219;61.883.911;21.850.000
71.77;       Sample2;1;44.004.034;    0.62965729;18.326.800;41.648.000;   0.068867766;  0.0099428177;18.243.442;50.295.966;61.957.446;21.850.000
86.59;        Sample;1;32.923.918;    0.53405931;18.538.800;56.308.000;   0.046746031;  0.0052511557;82.256.339;75.943.192;62.030.513;21.846.600
86.59;       Sample2;1;41.561.680;    0.61211504;20.268.800;48.768.000;   0.062777519;  0.0081612016;16.358.098;62.265.983;62.103.736;21.850.000
101.20;        Sample;1;31.203.142;    0.51460013;18.112.800;58.048.000;   0.037778661;  0.0049113119;81.568.828;65.238.026;62.177.939;21.850.000
101.20;       Sample2;1;41.288.199;    0.61004675;21.076.800;51.048.000;   0.059576400;  0.0073837854;15.221.591;63.769.321;62.252.425;21.850.000
116.04;        Sample;1;30.764.301;    0.50937463;18.048.800;58.668.000;   0.047184201;   0.010768415;22.322.233;53.214.561;62.325.954;21.853.300
116.04;       Sample2;1;42.825.276;    0.62139336;21.578.800;50.388.000;   0.077854428;  0.0093258840;19.530.219;79.444.121;62.399.716;21.850.000
130.75;        Sample;1;33.494.320;    0.54016985;18.752.800;55.988.000;   0.035094249;  0.0049774843;93.317.793;51.624.148;62.474.133;21.850.000
130.75;       Sample2;1;40.407.430;    0.60323309;21.580.800;53.408.000;   0.044380208;  0.0065617071;14.390.055;46.611.496;62.547.663;21.853.300
145.57;        Sample;1;32.547.579;    0.52993800;18.606.800;57.168.000;   0.036829697;  0.0054740629;10.326.359;56.374.686;62.621.729;21.850.000
145.57;       Sample2;1;37.145.006;    0.57577691;21.732.800;58.508.000;   0.040542433;  0.0059897486;13.306.429;52.865.271;62.695.382;21.866.600
160.41;        Sample;1;32.257.097;    0.52670672;18.498.800;57.348.000;   0.047499926;  0.0092496525;18.874.600;60.889.892;62.768.962;21.860.000
160.41;       Sample2;1;36.535.147;    0.57021732;21.704.800;59.408.000;   0.049835303;  0.0060488275;12.535.088;73.413.035;62.844.067;21.860.000
175.19;        Sample;1;32.252.103;    0.52665078;18.708.800;58.008.000;   0.038087663;  0.0055207278;10.327.684;60.558.801;62.917.450;21.860.000
175.19;       Sample2;1;38.023.224;    0.58353483;22.135.600;58.216.000;   0.053257724;  0.0059038786;12.120.361;75.052.262;62.991.375;21.866.600
192.88;        Sample;1;32.940.326;    0.53423735;19.143.600;58.116.000;   0.040138540;  0.0055002971;10.305.951;63.529.521;63.095.565;21.876.600
192.88;       Sample2;1;38.516.750;    0.58777123;21.937.600;56.956.000;   0.038455629;  0.0049277029;10.634.601;49.712.860;63.169.725;21.876.600
207.79;        Sample;1;32.476.751;    0.52915419;18.997.600;58.496.000;   0.050298242;   0.010994152;23.524.232;54.413.621;63.244.011;21.870.000
207.79;       Sample2;1;38.320.051;    0.58609315;21.733.600;56.716.000;   0.043199562;  0.0061025240;13.398.822;53.530.119;63.318.974;21.880.000
222.70;        Sample;1;31.619.773;    0.51945918;19.419.600;61.416.000;   0.036908755;  0.0066933453;14.107.781;56.112.669;63.393.707;21.883.300
222.70;       Sample2;1;37.941.487;    0.58282479;21.579.600;56.876.000;   0.045747022;  0.0055449953;11.525.624;61.481.705;63.467.694;21.883.300
237.54;        Sample;1;31.132.161;    0.51376247;19.325.600;62.076.000;   0.046865887;  0.0074624680;14.930.294;80.203.688;63.541.968;21.886.600
