Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;;I1StdError;I2StdError;RealTime
0;Sample;1;3,472567;0.55282951;123419.2;35541.2;0,01454719;0,002680294;356,9815;107,70232;8078,544;22,3866
0;Sample2;1;4,1055451;0.60826905;123557.2;30095.2;0,040982917;0,008348447;1086,6868;142,10152;8085,7833;22,3866
12.91;Sample;1;3,4851914;0.55408814;123087.2;35317.2;0,018044728;0,002311004;274,39656;165,03843;8093,1062;22,3866
12.91;Sample2;1;3,4400865;0.54955832;109495.2;31829.2;0,048118571;0,011807016;1455,7874;138,31695;8100,3851;22,38
27.53;Sample;1;3,459972;0.55156669;122397.2;35375.2;0,020076222;0,00245136;281,3722;188,46527;8107,6923;22,3866
27.53;Sample2;1;3,3188736;0.53691629;107907.2;32513.2;0,043248074;0,010589511;1300,1104;161,39588;8114,9927;22,3866
42.14;Sample;1;3,5002;0.55557531;122511.2;35001.2;0,018194163;0,002951999;379,27465;146,14989;8122,3049;22,3866
42.14;Sample2;1;3,2968228;0.5345398;108911.2;33035.2;0,023981649;0,005663287;699,9615;112,55502;8129,8124;22,38
56.99;Sample;1;3,4578311;0.55135132;121851.2;35239.2;0,015518684;0,002717606;353,87301;120,57756;8137,2392;22,3866
56.99;Sample2;1;3,2200498;0.52607194;107051.2;33245.2;0,02998625;0,006734121;817,10452;177,35543;8144,7165;22,38
71.91;Sample;1;3,4690632;0.55247892;121553.2;35039.2;0,015466152;0,002132024;257,91512;137,38919;8152,1776;22,38
71.91;Sample2;1;3,1959128;0.52334567;106843.2;33431.2;0,031600285;0,007613627;933,50455;154,7589;8159,6044;22,3933
86.73;Sample;1;3,4524708;0.55081121;121089.2;35073.2;0,013973818;0,002100736;261,0243;120,14991;8167,0473;22,3933
86.73;Sample2;1;3,2804623;0.53276075;110575.2;33707.2;0,030493319;0,006869441;857,51612;172,74502;8174,3848;22,3966
