EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;19945.6;150,73155;2035,8574;20,6433
501;20153.6;140,95547;2037,3081;20,6433
502;19893.6;204,83489;2038,4666;20,6466
503;19629.6;194,17747;2039,622;20,6466
504;19305.6;106,8332;2040,7827;20,6466
505;18585.6;139,96825;2041,9438;20,6466
506;18005.6;135,74486;2043,0642;20,6466
507;17545.6;148,83249;2044,2499;20,6466
508;16897.6;69,230693;2045,4065;20,6466
509;16449.6;82,451332;2046,5763;20,6466
510;15969.6;173,45637;2047,7209;20,6466
511;15673.6;117,12102;2048,8749;20,6466
512;15281.6;106,36624;2050,0447;20,65
513;14809.6;103,48591;2051,1968;20,65
514;14625.6;160,66528;2052,3293;20,65
515;14029.6;62,949715;2053,5061;20,65
516;13781.6;137,72114;2054,667;20,65
517;13473.6;138,41002;2055,818;20,65
518;13117.6;130,23739;2056,9433;20,65
519;12645.6;148,74288;2058,1309;20,65
520;12513.6;124,6221;2059,2846;20,65
521;12313.6;64,442912;2060,4469;20,65
522;11941.6;66,252044;2061,5906;20,65
523;11705.6;110,11106;2062,6398;20,65
524;11509.6;75,058496;2063,8054;20,65
525;11433.6;80,619821;2064,9286;20,65
526;10857.6;83,223928;2066,1333;20,65
527;10705.6;87,024901;2067,2769;20,65
528;10469.6;99,142994;2068,4052;20,65
529;10173.6;92,769727;2069,6015;20,6533
530;10009.6;127,49902;2070,7549;20,6533
531;9517.6;116,24495;2071,9053;20,6533
532;9097.6;137,76631;2073,063;20,6533
533;8853.6;111,88089;2074,2246;20,6533
534;8785.6;108,64826;2075,3734;20,6533
535;8369.6;81,366114;2076,5221;20,6533
536;7989.6;143,53629;2077,6729;20,6533
537;7765.6;107,20696;2078,837;20,6533
538;7369.6;109,17061;2079,9921;20,6666
539;7213.6;66,41285;2081,1635;20,6666
540;6733.6;76,140222;2082,3141;20,6666
541;6613.6;88,453378;2083,478;20,6666
542;6453.6;83,915301;2084,5909;20,6666
543;6113.6;101,15774;2085,8047;20,6666
544;5765.6;74,773733;2087,052;20,6666
545;5457.6;88,804404;2088,209;20,6666
546;5165.6;66,198355;2089,3628;20,6666
547;5057.6;81,932221;2090,534;20,66
548;4741.6;72,651375;2091,6826;20,66
549;4625.6;78,202018;2092,8531;20,66
550;4373.6;88,252164;2094,097;20,66
551;4293.6;83,063563;2095,2555;20,66
552;4133.6;51,656988;2096,4055;20,66
553;3957.6;65,060655;2097,5583;20,66
554;3741.6;82,505219;2098,6765;20,66
555;3569.6;66,452991;2099,8812;20,66
556;3521.6;77,791745;2100,9835;20,66
557;3277.6;65,060655;2102,1842;20,66
558;3245.6;68,572751;2103,3051;20,66
559;3205.6;55,055528;2104,4893;20,66
560;2913.6;66,345895;2105,6481;20,66
561;2677.6;50,614008;2106,8018;20,66
562;2761.6;74,523673;2107,9555;20,66
563;2681.6;64;2109,1095;20,6733
564;2469.6;33,967305;2110,2814;20,6733
565;2417.6;57,441758;2111,3979;20,6733
566;2449.6;43,081318;2112,5969;20,6733
567;2253.6;43,019375;2113,7556;20,6733
568;2177.6;62,481997;2114,9177;20,6733
569;2025.6;70,047603;2116,0662;20,6733
570;1905.6;49,888765;2117,2235;20,6733
571;2061.6;62,666667;2118,3519;20,6733
572;1917.6;63,399965;2119,5558;20,6733
573;1853.6;52;2120,7005;20,6766
574;1765.6;48,898989;2121,8626;20,6766
575;1689.6;62,595705;2123,0238;20,6766
576;1553.6;36,660606;2124,1838;20,6766
577;1605.6;49,261209;2125,2913;20,6766
578;1513.6;48,368952;2126,484;20,6766
579;1413.6;40,022216;2127,6316;20,6766
580;1429.6;38,389813;2128,7804;20,67
581;1397.6;47,721414;2129,9603;20,67
582;1237.6;22,350739;2131,1105;20,67
583;1225.6;33,199732;2132,2527;20,67
584;1221.6;52,136573;2133,4145;20,67
585;1161.6;49,602867;2134,5708;20,67
586;1121.6;36,854067;2135,7356;20,67
587;1041.6;47,777261;2136,893;20,67
588;961.6;47,777261;2138,0419;20,68
589;977.6;39,00997;2139,1967;20,68
590;993.6;29,089899;2140,335;20,68
591;925.6;29,96294;2141,5095;20,68
592;813.6;36,295087;2142,6955;20,68
593;861.6;64,069407;2143,9392;20,68
594;773.6;30,433899;2145,1016;20,68
595;837.6;43,43066;2146,2595;20,68
596;753.6;45,723809;2147,4145;20,68
597;777.6;29,089899;2148,567;20,68
598;693.6;18,903263;2149,7291;20,6833
599;661.6;22,666667;2150,884;20,6833
600;645.6;33,862467;2152,0527;20,6833
