EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
500;58626.4;152,02924;113,84407;20,0033
501;61434.4;171,1919;115,35482;20,0033
502;61750.4;230,6474;116,51193;20,0066
503;62530.4;250,54252;117,67749;20,0066
504;61246.4;362,49996;118,81938;20,0066
505;61586.4;195,96372;119,97458;20,0066
506;60362.4;396,43074;121,13409;20,0066
507;59962.4;233,01311;122,29353;20,0066
508;58506.4;196,14507;123,41878;20,0066
509;58274.4;281,53547;124,59929;20,0066
510;55586.4;318,72245;125,75896;20,01
511;54154.4;218,45925;126,91974;20,01
512;53722.4;263,04541;128,06534;20,01
513;52382.4;240,79867;129,23153;20,01
514;51170.4;240,10738;130,38052;20,01
515;50050.4;282,93384;131,52957;20,01
516;48542.4;308,33171;132,69064;20,01
517;46622.4;299,73618;133,84319;20,01
518;45778.4;235,32106;134,97551;20,01
519;44778.4;131,51426;136,15598;20,01
520;43734.4;213,66641;137,31605;20,01
521;42606.4;162,51359;138,4719;20,01
522;41582.4;213,14992;139,62354;20,01
523;40238.4;177,70888;140,76453;20,01
524;39570.4;178,0337;141,94006;20,01
525;39082.4;196,23569;143,08405;20,01
526;37842.4;195,05441;144,24188;20,01
527;37122.4;183,21087;145,41081;20,01
528;35854.4;176,98713;146,56553;20,01
529;35226.4;102,07622;147,67878;20,01
530;33714.4;189,24411;148,86856;20,01
531;33450.4;248,26151;150,0262;20,0133
532;32162.4;133,20661;151,17275;20,0133
533;30994.4;238,15961;152,3348;20,0133
534;30302.4;178,76614;153,48994;20,0133
535;29378.4;111,62636;154,64572;20,0133
536;28686.4;201,92848;155,80867;20,0133
537;27650.4;98,061205;156,96363;20,0133
538;26798.4;180,19249;158,11426;20,0133
539;25434.4;133,76596;159,27396;20,0133
540;24722.4;179,28748;160,43664;20,0133
541;24578.4;223,86107;161,59111;20,0133
542;23210.4;146,59998;162,70607;20,0133
543;22410.4;135,24628;163,91164;20,0266
544;21374.4;115,31599;165,05625;20,0266
545;20630.4;88,282375;166,21763;20,0266
546;19722.4;165,46769;167,37682;20,0266
547;19122.4;128,58892;168,53424;20,0266
548;18546.4;108,32872;169,67393;20,0266
549;17974.4;81,1035;170,84686;20,0266
550;17214.4;110,59435;171,99622;20,02
551;16266.4;94,290332;173,14983;20,02
552;15686.4;86,779414;174,31179;20,02
553;15434.4;199,30992;175,45153;20,02
554;14790.4;112,222;176,62263;20,02
555;14090.4;106,24082;177,78226;20,02
556;13546.4;114,23951;178,93866;20,02
557;13058.4;99,500977;180,09888;20,02
558;12746.4;84,126888;181,26063;20,02
559;12254.4;115,62391;182,41764;20,02
560;11926.4;65,265271;183,57319;20,02
561;11518.4;143,38139;184,71964;20,02
562;10938.4;105,06294;185,8714;20,02
563;10730.4;53,483123;187,02947;20,02
564;10462.4;152,93281;188,19299;20,02
565;10170.4;101,62239;189,30357;20,02
566;9574.4;140,22205;190,49997;20,02
567;9582.4;72;191,64297;20,02
568;9282.4;104,48604;192,70124;20,02
569;9098.4;125,99118;193,85347;20,02
570;8654.4;103,10728;195,02387;20,02
571;8474.4;83,106358;196,17704;20,02
572;8258.4;109,86052;197,33427;20,0333
573;8022.4;78,835976;198,49219;20,0333
574;7802.4;130,64626;199,64851;20,0333
575;7702.4;92,529875;200,80875;20,0333
576;7322.4;73,527017;201,95511;20,0333
577;7062.4;95,925897;203,10996;20,0333
578;6806.4;98,666667;204,27278;20,0333
579;6910.4;76,640575;205,4277;20,0333
580;6646.4;74,666667;206,57437;20,0333
581;6270.4;56,316566;207,74094;20,0333
582;6194.4;53,748385;208,90978;20,0333
583;5842.4;38,666667;210,05647;20,0366
584;5706.4;66,679999;211,21645;20,0366
585;5802.4;99,964438;212,36889;20,0366
586;5450.4;78,30425;213,53424;20,0366
587;5314.4;67,263991;214,67976;20,0366
588;5166.4;49,817445;215,80413;20,0366
589;5058.4;86,912472;217,00325;20,0366
590;4930.4;101,4473;218,15378;20,0366
591;4794.4;47,046077;219,32506;20,0366
592;4650.4;50,048865;220,47246;20,0366
593;4478.4;101,40348;221,64673;20,03
594;4410.4;78,30425;222,79374;20,03
595;4290.4;39,754804;223,91805;20,03
596;4138.4;47,497368;225,09273;20,03
597;4106.4;61,694588;226,25183;20,03
598;3994.4;66,999171;227,42366;20,03
599;3762.4;90,440895;228,6774;20,03
600;3766.4;53,599337;229,82002;20,03
