Time;Sample;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
0;Sample;1;1,5811306;0.22514577;15002.4;9488.4;0,01268277;0,004410654;94,099611;47,441931;3438,5997;20,8733
0;Reference;1;1,0508919;0.024814505;8342.4;7938.4;0,011799307;0,005609663;64,367367;64,752159;3444,7;20,8733
0;Sample2;1;2,5866613;0.44237835;36038.4;13932.4;0,016888557;0,003627476;150,26713;70;3451,8108;20,8733
18.92;Sample;1;1,6335366;0.24056495;18322.4;11216.4;0,014870085;0,00469799;111,54419;75,909919;3459,2771;20,8766
18.92;Reference;1;1,0316581;0.015582392;8342.4;8086.4;0,012385377;0,005991761;65,982454;73,033518;3466,0732;20,87
18.92;Sample2;1;2,5610257;0.43836407;35394.4;13820.4;0,017110167;0,003662107;148,62457;71,817019;3473,2604;20,8766
40.35;Sample;1;1,6136427;0.23478445;18612.4;11534.4;0,015527375;0,00498271;121,32167;81,64622;3480,5608;20,88
40.35;Reference;1;0,96883391;-0.015829721;8082.4;8342.4;0,009777375;-0,005039835;60,280048;56,717212;3487,3794;20,8833
40.35;Sample2;1;2,5761031;0.44073201;34608.4;13434.4;0,021929186;0,003726646;127,29659;103,13405;3494,5216;20,87
61.59;Sample;1;1,6855557;0.25527517;19310.4;11456.4;0,013924784;0,004249684;104,61357;71,452597;3501,8899;20,8833
61.59;Reference;1;0,93672699;-0.032670069;7846.4;8376.4;0,009998851;-0,00533532;60,482272;61,850414;3508,7092;20,89
61.59;Sample2;1;2,5072984;0.42976053;33804.4;13482.4;0,01848236;0,003949395;152,52196;78,592888;3515,8728;20,8866
83.03;Sample;1;1,4934264;0.19789092;18220.4;12200.4;0,011389464;0,004197151;112,89399;54,248939;3523,3161;20,89
83.03;Reference;1;0,91027016;-0.046972327;7466.4;8202.4;0,010276785;-0,005652328;60,168185;64,856116;3530,0374;20,8933
83.03;Sample2;1;2,5279865;0.43310441;33638.4;13306.4;0,018567026;0,004001947;154,63097;76,221284;3537,3208;20,8933
104.48;Sample;1;1,4218817;0.17419584;17222.4;12112.4;0,009170904;0,003276729;75,281926;57,445626;3544,672;20,9066
