Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;480.00;10315.2;103,76041;19066679;19843300
Reference;481.00;12091.2;92,529875;19081943;19843300
Reference;482.00;14263.2;109,34146;19093472;19843300
Reference;483.00;16539.2;193,60441;19105049;19843300
Reference;484.00;18859.2;107,03271;19116636;19843300
Reference;485.00;21483.2;112,66469;19128139;19843300
Reference;486.00;24607.2;105,73762;19139741;19843300
Reference;487.00;27847.2;192,79926;19151428;19843300
Reference;488.00;30743.2;184,48728;19162864;19843300
Reference;489.00;34523.2;225,64476;19174489;19843300
Reference;490.00;37275.2;120,8562;19185948;19843300
Reference;491.00;40223.2;244,85824;19197537;19843300
Reference;492.00;42403.2;253,33333;19208989;19843300
Reference;493.00;44383.2;212,85363;19220523;19843300
Reference;494.00;46071.2;146,30865;19232049;19843300
Reference;495.00;45863.2;228,63848;19243613;19843300
Reference;496.00;46047.2;244,80015;19255263;19843300
Reference;497.00;45991.2;236,27103;19266810;19846600
Reference;498.00;45943.2;159,13656;19278363;19846600
Reference;499.00;44891.2;245,18836;19289785;19846600
Reference;500.00;43735.2;187,90541;19301482;19846600
Reference;501.00;44027.2;201,34658;19313047;19846600
Reference;502.00;43171.2;245,26086;19324555;19846600
Reference;503.00;42903.2;221,53003;19336248;19846600
Reference;504.00;42143.2;230,49705;19347840;19846600
Reference;505.00;42147.2;288,33314;19358870;19846600
Reference;506.00;42427.2;182,05738;19370883;19846600
Reference;507.00;43479.2;273,67134;19382361;19846600
Reference;508.00;44503.2;191,02065;19393976;19846600
Reference;509.00;45503.2;279,95238;19405405;19846600
Reference;510.00;47487.2;145,99239;19417093;19850000
Reference;511.00;49595.2;181,82287;19428550;19850000
Reference;512.00;51571.2;260,85671;19440196;19850000
Reference;513.00;53707.2;246,59098;19451708;19850000
Reference;514.00;56667.2;196,88237;19463203;19850000
Reference;515.00;59451.2;302,51097;19474762;19850000
Reference;516.00;62243.2;299,27319;19486357;19850000
Reference;517.00;65659.2;207,00617;19497989;19850000
Reference;518.00;69815.2;268,59635;19509573;19850000
Reference;519.00;73519.2;329,98047;19521052;19850000
Reference;520.00;77815.2;278,15583;19532683;19850000
Reference;521.00;82327.2;360,12097;19544160;19850000
Reference;522.00;87035.2;264,24231;19555644;19850000
Reference;523.00;91487.2;329,60313;19567262;19850000
Reference;524.00;97307.2;395,76424;19578782;19850000
Reference;525.00;103175.20;282,9087;19590398;19850000
Reference;526.00;108827.20;236,43275;19601813;19850000
Reference;527.00;114635.20;540,38011;19613501;19850000
Reference;528.00;121739.20;297,6172;19624910;19850000
Reference;529.00;128519.20;290,31477;19636485;19850000
Reference;530.00;136355.20;388,21758;19648204;19850000
Reference;531.00;143691.20;458,74418;19659715;19850000
Reference;532.00;150187.20;422,4037;19671257;19850000
Reference;533.00;157787.20;643,63413;19682810;19850000
Reference;534.00;164947.20;658,24548;19694395;19850000
Reference;535.00;172083.20;442,81925;19705975;19850000
Reference;536.00;177967.20;448,77908;19717465;19853300
Reference;537.00;186087.20;425,5172;19729125;19853300
Reference;538.00;191635.20;508,23617;19740669;19853300
Reference;539.00;198611.20;382,59;19752300;19853300
Reference;540.00;202683.20;624,1937;19764013;19853300
Reference;541.00;207739.20;569,79372;19775441;19853300
Reference;542.00;212295.20;502,5464;19786971;19853300
Reference;543.00;216807.20;612,7664;19798648;19866600
Reference;544.00;220427.20;636,38423;19810095;19866600
Reference;545.00;224451.20;484,85691;19821825;19866600
Reference;546.00;227187.20;692,3891;19833448;19866600
