Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;480;38424;205,80033;1444,0761;19,73
Reference;481;37712;166,29826;1445,5486;19,73
Reference;482;36376;211,84481;1446,6946;19,73
Reference;483;35876;148,04804;1447,8587;19,73
Reference;484;34876;114,45717;1449,0179;19,73
Reference;485;34056;122,08558;1450,1532;19,73
Reference;486;33412;256,61385;1451,3163;19,73
Reference;487;32896;244,70935;1452,4949;19,73
Reference;488;32224;217,72153;1453,6451;19,73
Reference;489;32360;210,56538;1454,7854;19,73
Reference;490;31244;170,48428;1455,959;19,73
Reference;491;30584;102,62337;1457,1196;19,73
Reference;492;29908;182,14036;1458,2658;19,73
Reference;493;29304;165,4838;1459,4243;19,73
Reference;494;28176;222,32709;1460,5947;19,73
Reference;495;27408;93,104481;1461,7488;19,7333
Reference;496;26364;166,04685;1462,9029;19,7333
Reference;497;25444;165,83258;1464,0249;19,7333
Reference;498;24920;95,405567;1465,2082;19,7333
Reference;499;23720;99,77753;1466,3822;19,7333
Reference;500;22832;143,82706;1467,5292;19,7333
Reference;501;21708;193,31494;1468,6887;19,7333
Reference;502;20572;149,31548;1469,838;19,7333
Reference;503;19308;134,93043;1471,0012;19,7333
Reference;504;18556;141,66627;1472,144;19,7333
Reference;505;17436;126,27307;1473,2705;19,7333
Reference;506;16524;159,38214;1474,4234;19,73
Reference;507;15792;132,50409;1475,621;19,73
Reference;508;14672;120,26637;1476,7656;19,7333
Reference;509;13700;98,747714;1477,9341;19,7333
Reference;510;13540;128,47827;1479,1019;19,7333
Reference;511;12680;105,9979;1480,2506;19,7333
Reference;512;12264;80,044432;1481,4019;19,7333
Reference;513;11420;128,75472;1482,5219;19,7333
Reference;514;10964;71,665891;1483,7119;19,7333
Reference;515;10512;88,403117;1484,8634;19,7333
Reference;516;10004;98,423123;1486,032;19,7466
Reference;517;9532;66,41285;1487,171;19,7466
Reference;518;8880;100,84091;1488,3552;19,7466
Reference;519;8652;88,854438;1489,4979;19,7466
Reference;520;8176;86,86132;1490,6636;19,7466
Reference;521;7712;81,27867;1491,8085;19,7466
Reference;522;7564;74,344543;1492,9777;19,7466
Reference;523;7028;75,671806;1494,132;19,7466
Reference;524;6664;87,676172;1495,2765;19,7466
Reference;525;6520;63,94442;1496,4332;19,7466
Reference;526;6008;79,061158;1497,5901;19,7466
Reference;527;5880;64,221838;1498,7577;19,7466
Reference;528;5688;85,333333;1499,9013;19,7466
Reference;529;5552;71,255409;1501,0671;19,7466
Reference;530;5452;96,526335;1502,2362;19,74
Reference;531;5192;54,585305;1503,3884;19,74
Reference;532;4940;110,79511;1504,5689;19,74
Reference;533;4852;50,614008;1505,814;19,74
Reference;534;4800;66,131183;1506,9751;19,74
Reference;535;4732;55,313249;1508,139;19,74
Reference;536;4584;84,999346;1509,2831;19,74
Reference;537;4448;63,048482;1510,3994;19,74
Reference;538;4456;65,10163;1511,5896;19,74
Reference;539;4244;54,143841;1512,7421;19,74
Reference;540;4268;53,015721;1513,852;19,74
Reference;541;4240;91,990338;1515,0504;19,74
Reference;542;4152;89,799777;1516,21;19,74
Reference;543;4152;56,819402;1517,3589;19,74
Reference;544;3900;79,162281;1518,5072;19,74
Reference;545;3928;47,62819;1519,6738;19,74
Reference;546;3860;32,249031;1520,7935;19,74
Reference;547;3852;61,982076;1521,9752;19,74
Reference;548;3704;67,514607;1523,1103;19,74
Reference;549;3684;102,31976;1524,3127;19,74
Reference;550;3772;54,012344;1525,455;19,7533
Reference;551;3588;40,022216;1526,6197;19,7533
Reference;552;3628;43,019375;1527,7761;19,7533
Reference;553;3528;90,784237;1528,9179;19,7533
Reference;554;3460;42,26898;1530,0831;19,7533
Reference;555;3516;65,442086;1531,2292;19,7533
Reference;556;3408;59,568821;1532,3854;19,7533
Reference;557;3428;53,349997;1533,5463;19,7533
Reference;558;3348;47,347416;1534,6912;19,7533
Reference;559;3404;45,19587;1535,8493;19,7533
Reference;560;3208;42,915939;1537,0141;19,7533
Reference;561;3208;36,172427;1538,1698;19,7533
Reference;562;3304;45,097425;1539,3313;19,7533
Reference;563;3060;33,333333;1540,4898;19,7566
Reference;564;3156;38,850139;1541,6491;19,7566
Reference;565;3080;37,237973;1542,7982;19,7566
Reference;566;2988;53,349997;1543,9574;19,7566
Reference;567;3088;51,570879;1545,1086;19,7566
Reference;568;2980;53,082745;1546,264;19,7566
Reference;569;2908;34,794636;1547,3854;19,7566
Reference;570;2956;45,975839;1548,586;19,7566
Reference;571;2872;60,750857;1549,7426;19,7566
Reference;572;2952;35,175749;1550,9148;19,7566
Reference;573;2880;65,046992;1552,0642;19,75
Reference;574;2836;37,9239;1553,2281;19,75
Reference;575;2832;43,328205;1554,381;19,75
Reference;576;2828;44,24176;1555,5323;19,75
Reference;577;2696;68,039204;1556,712;19,75
Reference;578;2816;80,266224;1557,857;19,75
Reference;579;2716;74,105031;1559,0164;19,75
Reference;580;2808;61,910329;1560,1725;19,75
Reference;581;2636;84;1561,323;19,75
Reference;582;2676;77,160727;1562,4811;19,75
Reference;583;2636;65,713181;1563,6542;19,75
Reference;584;2580;42,687495;1564,8105;19,75
Reference;585;2592;72,736969;1565,961;19,76
Reference;586;2544;66,184926;1567,0832;19,76
Reference;587;2544;69,844271;1568,279;19,76
Reference;588;2596;48,60727;1569,4481;19,76
Reference;589;2444;44;1570,6056;19,76
Reference;590;2456;43,081318;1571,7173;19,76
Reference;591;2464;48,515748;1572,9161;19,76
Reference;592;2432;58,36285;1574,0626;19,7633
Reference;593;2448;40,353989;1575,2107;19,7633
Reference;594;2352;29,089899;1576,3754;19,7633
Reference;595;2360;56,881944;1577,5249;19,7633
Reference;596;2304;41,825032;1578,6806;19,7633
Reference;597;2372;42,184779;1579,8418;19,7633
Reference;598;2324;53,814496;1581,0049;19,7633
Reference;599;2252;62,268237;1582,1651;19,7633
Reference;600;2264;68,299992;1583,3089;19,7633
Reference;601;2304;43,492017;1584,4708;19,7633
Reference;602;2344;49,243161;1585,6167;19,7633
Reference;603;2280;50,946595;1586,7865;19,7633
Reference;604;2304;50,666667;1587,9926;19,7633
Reference;605;2156;60,354508;1589,1852;19,7666
Reference;606;2152;57,750421;1590,342;19,7666
Reference;607;2132;60,823972;1591,4864;19,7666
Reference;608;2132;59,344568;1592,6406;19,7666
Reference;609;2092;30,433899;1593,7593;19,7666
Reference;610;2148;58,133945;1594,9126;19,7666
Reference;611;2164;49,333333;1596,0996;19,7666
Reference;612;2108;73,041845;1597,252;19,77
Reference;613;2060;64,291005;1598,4019;19,77
Reference;614;2060;46,666667;1599,5636;19,77
Reference;615;2032;39,00997;1600,7275;19,77
Reference;616;2020;46,666667;1601,8878;19,77
Reference;617;2024;49,959984;1603,0497;19,77
Reference;618;1952;57,131427;1604,1949;19,77
Reference;619;1952;50,876757;1605,3533;19,77
Reference;620;1844;55,120071;1606,5123;19,77
Reference;621;1928;51,91446;1607,6749;19,77
Reference;622;1872;43,328205;1608,8235;19,77
Reference;623;1828;51,311684;1609,984;19,77
Reference;624;1864;66,452991;1611,1374;19,77
Reference;625;1776;35,377331;1612,3017;19,77
Reference;626;1812;54,990908;1613,4658;19,77
Reference;627;1768;39,00997;1614,616;19,77
Reference;628;1684;59,164554;1615,7795;19,77
Reference;629;1728;41,225666;1617,0326;19,77
Reference;630;1596;38,850139;1618,1778;19,77
Reference;631;1676;50,048865;1619,3318;19,77
Reference;632;1656;33,836207;1620,498;19,7733
Reference;633;1600;32,659863;1621,6625;19,7733
Reference;634;1668;59,643385;1622,8038;19,7733
Reference;635;1504;59,089386;1623,9748;19,7733
Reference;636;1500;40,110957;1625,1185;19,7733
Reference;637;1560;40;1626,2742;19,7733
Reference;638;1500;41,84628;1627,4328;19,7733
Reference;639;1392;37,617963;1628,5941;19,7733
Reference;640;1412;38,666667;1629,75;19,7733
Reference;641;1456;42,247945;1630,8864;19,7733
Reference;642;1508;51,656988;1632,0539;19,7866
Reference;643;1404;39,754804;1633,2039;19,7866
Reference;644;1444;34,486712;1634,358;19,7866
Reference;645;1380;34,383459;1635,5299;19,7866
Reference;646;1316;36;1636,7815;19,7866
Reference;647;1324;41,931161;1637,9355;19,7866
Reference;648;1412;41,761226;1639,0964;19,7866
Reference;649;1412;43,019375;1640,2578;19,7866
Reference;650;1336;40,966111;1641,4165;19,7866
