Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Sample;480;6494.4;70,603746;803,3663;19,5966
Sample;481;7614.4;94,129934;804,8428;19,5966
Sample;482;8622.4;67,409198;805,99381;19,5966
Sample;483;10546.4;144,27751;807,1503;19,5966
Sample;484;13374.4;143,75287;808,31232;19,5966
Sample;485;17166.4;139,73944;809,46608;19,5966
Sample;486;23486.4;196,43037;810,61712;19,5966
Sample;487;32326.4;226,99584;811,77014;19,5966
Sample;488;44046.4;180,3897;812,92301;19,5966
Sample;489;61406.4;252,2926;814,09204;19,59
Sample;490;84302.4;296,69588;815,24259;19,59
Sample;491;113446.4;277,84568;816,39721;19,5966
Sample;492;148014.4;289,93179;817,55202;19,59
Sample;493;189086.4;535,36945;818,70799;19,5966
Sample;494;230578.4;442,98182;819,83181;19,59
Sample;495;274514.4;616,72829;821,03732;19,59
Sample;496;314658.4;659,7252;822,27223;19,59
Sample;497;352090.4;623,11761;823,43183;19,59
Sample;498;382538.4;633,66447;824,58667;19,59
Sample;499;409010.4;613,92001;825,74288;19,59
Sample;500;427610.4;782,91194;826,89981;19,59
Sample;501;440914.4;830,32417;828,05478;19,59
Sample;502;444330.4;847,40126;829,21593;19,59
Sample;503;449150.4;1220,8704;830,37641;19,6
Sample;504;450494.4;922,04989;831,52145;19,6
Sample;505;449418.4;712,75491;832,6745;19,6
Sample;506;449782.4;883,84614;833,84586;19,6
Sample;507;445006.4;569,82492;834,98139;19,6
Sample;508;445158.4;745,01723;836,1108;19,6
Sample;509;443594.4;532,74801;837,30416;19,6
Sample;510;441306.4;680,63892;838,46187;19,6
Sample;511;442190.4;681,35812;839,61404;19,6
Sample;512;438674.4;768,57039;840,77696;19,6
Sample;513;438802.4;603,75271;841,92393;19,6
Sample;514;438810.4;873,49617;843,08041;19,6
Sample;515;439234.4;397,97041;844,24377;19,6
Sample;516;440290.4;842,16124;845,38807;19,6
Sample;517;440498.4;680,41948;846,54633;19,6033
Sample;518;439350.4;410,48481;847,6944;19,6033
Sample;519;441054.4;568,41925;848,85636;19,6033
Sample;520;439950.4;586,24227;850,02055;19,6033
Sample;521;438910.4;905,58759;851,17283;19,6033
Sample;522;436078.4;640,63302;852,33404;19,6033
Sample;523;433918.4;1010,2902;853,49931;19,6033
Sample;524;431734.4;660,83314;854,65139;19,6033
Sample;525;428886.4;545,72928;855,81444;19,6033
Sample;526;423394.4;397,07598;856,9593;19,6066
Sample;527;419918.4;736,52155;858,11367;19,6066
Sample;528;413614.4;826,13316;859,26791;19,6066
Sample;529;406882.4;559,90634;860,42286;19,6066
Sample;530;398750.4;598,63549;861,5857;19,6066
Sample;531;389238.4;764,89186;862,74358;19,6066
Sample;532;381726.4;920,39026;863,88769;19,6066
Sample;533;372050.4;808,91148;865,05376;19,6066
Sample;534;360890.4;443,8318;866,20581;19,6066
Sample;535;351458.4;817,28113;867,3595;19,6066
Sample;536;337922.4;367,18993;868,52568;19,6066
Sample;537;329710.4;718,59121;869,67161;19,6066
Sample;538;318610.4;645,51099;870,82437;19,6066
Sample;539;308466.4;416,13887;871,98349;19,6066
Sample;540;297146.4;525,89648;873,15524;19,61
Sample;541;287018.4;561,52332;874,30345;19,61
Sample;542;275390.4;508,48795;875,45808;19,61
Sample;543;265974.4;649,10742;876,6094;19,61
Sample;544;255046.4;517,05835;877,76561;19,61
Sample;545;246558.4;635,00271;878,92663;19,61
Sample;546;237030.4;565,088;880,08655;19,61
Sample;547;228218.4;403,2336;881,23723;19,61
Sample;548;219458.4;500,34832;882,37737;19,61
Sample;549;211734.4;481,15417;883,5008;19,61
Sample;550;204126.4;390,51874;884,68718;19,61
Sample;551;196794.4;422,91896;885,84592;19,61
Sample;552;189570.4;518,46783;887,00029;19,61
Sample;553;182034.4;363,41345;888,15215;19,61
Sample;554;176366.4;482,18761;889,31803;19,61
Sample;555;169946.4;392,75438;890,47519;19,61
Sample;556;164082.4;472,8749;891,61803;19,61
Sample;557;160410.4;405,08984;892,78307;19,61
Sample;558;154446.4;251,51629;893,91977;19,6133
Sample;559;149438.4;502,67904;895,0952;19,6133
Sample;560;144842.4;332,21412;896,25084;19,61
Sample;561;141370.4;502,2704;897,39218;19,6133
Sample;562;137334.4;192,59168;898,56283;19,6133
Sample;563;133354.4;446,27645;899,70423;19,6133
Sample;564;128978.4;254,52701;900,85043;19,6133
Sample;565;126710.4;516,36335;901,99086;19,6133
Sample;566;123126.4;407,93028;903,1867;19,6133
Sample;567;120118.4;334,60026;904,33761;19,6133
Sample;568;115566.4;315,92967;905,49862;19,6133
Sample;569;113142.4;155,24032;906,64182;19,6133
