Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;480;17207.2;137,66949;1096,8951;19,6533
Reference;481;20223.2;139,84754;1098,3512;19,6533
Reference;482;23323.2;165,44083;1099,5069;19,6533
Reference;483;27435.2;103,62325;1100,6583;19,6533
Reference;484;32231.2;182,37446;1101,786;19,65
Reference;485;36671.2;119,77015;1102,9686;19,65
Reference;486;42863.2;237,02227;1104,1352;19,65
Reference;487;48667.2;213,98235;1105,2852;19,65
Reference;488;54103.2;276,55339;1106,4566;19,65
Reference;489;60711.2;449,41246;1107,6018;19,65
Reference;490;67291.2;341,56242;1108,7659;19,6533
Reference;491;72583.2;166,75198;1109,9314;19,6533
Reference;492;77647.2;329,31174;1111,0732;19,6533
Reference;493;81947.2;292,7145;1112,2455;19,6533
Reference;494;85023.2;480,29806;1113,3885;19,6533
Reference;495;87339.2;288,33314;1114,5498;19,6533
Reference;496;88447.2;391,37592;1115,6945;19,6533
Reference;497;88719.2;329,54919;1116,8623;19,6533
Reference;498;87459.2;216,98541;1118,0021;19,6533
Reference;499;86323.2;358,6047;1119,1514;19,6533
Reference;500;84727.2;319,83607;1120,1843;19,6533
Reference;501;83795.2;424,07546;1121,367;19,6533
Reference;502;81795.2;286,83716;1122,5263;19,6533
Reference;503;80603.2;293,86618;1123,6848;19,6533
Reference;504;80651.2;269,39933;1124,8457;19,6533
Reference;505;80319.2;276;1126,0039;19,6533
Reference;506;79587.2;283,70877;1127,1624;19,6533
Reference;507;80179.2;141,38364;1128,3188;19,6533
Reference;508;80847.2;338,20704;1129,4785;19,6533
Reference;509;82399.2;176,32798;1130,6335;19,6533
Reference;510;83871.2;263,34262;1131,7933;19,6666
Reference;511;85515.2;192,11108;1132,951;19,6666
Reference;512;88303.2;193,49878;1134,0864;19,6666
Reference;513;90507.2;183,18661;1135,2497;19,6533
Reference;514;93159.2;284,12517;1136,4108;19,6666
Reference;515;95867.2;475,67683;1137,5719;19,6666
Reference;516;98991.2;480,53489;1138,6867;19,6666
Reference;517;102079.2;246,82517;1139,877;19,6666
Reference;518;105391.2;362,67892;1141,0312;19,6666
Reference;519;109311.2;348,63289;1142,1973;19,6666
Reference;520;113427.2;257,84061;1143,3565;19,6666
Reference;521;117663.2;281,27014;1144,5199;19,6666
Reference;522;122079.2;487,14862;1145,6649;19,6666
Reference;523;126923.2;428,73665;1146,8271;19,6666
Reference;524;131895.2;354,48868;1147,9798;19,6666
Reference;525;137059.2;363,05861;1149,1224;19,66
Reference;526;141539.2;370,9064;1150,2957;19,6666
Reference;527;147619.2;386,39991;1151,4632;19,66
Reference;528;152267.2;580,23137;1152,6179;19,66
Reference;529;158191.2;551,15072;1153,6752;19,66
Reference;530;164035.2;323,97531;1154,8284;19,66
Reference;531;169699.2;634,2856;1155,9825;19,66
Reference;532;175731.2;558,7669;1157,1431;19,66
Reference;533;180959.2;441,67157;1158,2967;19,66
Reference;534;187147.2;606,65348;1159,449;19,66
Reference;535;190279.2;492,55614;1160,6112;19,66
Reference;536;196479.2;698,32689;1161,7655;19,66
Reference;537;199891.2;404,34089;1162,9193;19,66
Reference;538;205599.2;557,66019;1164,0798;19,66
Reference;539;208635.2;980,28567;1165,2382;19,66
Reference;540;210559.2;579,82219;1166,3966;19,66
Reference;541;215259.2;442,98784;1167,5469;19,66
Reference;542;218363.2;419,34552;1168,7021;19,66
Reference;543;220799.2;559,66498;1169,8505;19,66
Reference;544;222891.2;377,79242;1171,0133;19,66
Reference;545;225463.2;619,564;1172,182;19,66
Reference;546;227791.2;243,12411;1173,3266;19,66
Reference;547;229495.2;479,67582;1174,4508;19,66
Reference;548;229655.2;462,65898;1175,6491;19,66
Reference;549;232451.2;542,98598;1176,7958;19,66
Reference;550;232315.2;569,03817;1177,955;19,66
Reference;551;234875.2;603,95732;1179,0973;19,66
Reference;552;234855.2;578,68049;1180,2305;19,66
Reference;553;237883.2;540,2485;1181,4207;19,66
Reference;554;237575.2;472,24288;1182,5411;19,66
Reference;555;240511.2;554,81569;1183,7414;19,66
Reference;556;241371.2;726,98342;1184,8878;19,66
Reference;557;243107.2;444,81407;1186,0486;19,6733
Reference;558;245195.2;587,18159;1187,1939;19,6733
Reference;559;246215.2;591,05179;1188,3479;19,6733
Reference;560;248251.2;584,85174;1189,5025;19,66
Reference;561;251219.2;480,19255;1190,6657;19,6733
Reference;562;251579.2;649,68232;1191,7842;19,6733
Reference;563;253999.2;852,73833;1192,9708;19,6733
Reference;564;257019.2;440,97669;1194,1277;19,6733
Reference;565;258047.2;609,02983;1195,2876;19,6733
Reference;566;259719.2;661,53895;1196,4358;19,6766
Reference;567;262419.2;469,97683;1197,5924;19,6766
Reference;568;264415.2;623,91595;1198,7477;19,6733
Reference;569;266787.2;558,27671;1199,8996;19,6766
Reference;570;267503.2;850,51723;1201,062;19,6766
Reference;571;270775.2;612,03486;1202,2216;19,6766
Reference;572;271695.2;613,94897;1203,3808;19,6766
Reference;573;273279.2;1003,0788;1204,5219;19,6766
Reference;574;273887.2;728,10378;1205,6816;19,6766
Reference;575;276055.2;723,7495;1206,8367;19,6766
Reference;576;277871.2;667,85095;1207,989;19,6766
Reference;577;277987.2;861,02368;1209,1614;19,6766
Reference;578;277535.2;629,87124;1210,3103;19,6766
Reference;579;277231.2;574,3077;1211,4754;19,6766
Reference;580;276995.2;621,11012;1212,6392;19,6766
Reference;581;278571.2;568,32542;1213,7962;19,67
Reference;582;278603.2;598,36221;1214,9605;19,67
Reference;583;278499.2;371,38539;1216,1077;19,67
Reference;584;278899.2;583,48227;1217,2591;19,67
Reference;585;277699.2;470,61945;1218,4317;19,67
Reference;586;275451.2;786,76158;1219,5853;19,67
Reference;587;274583.2;547,15588;1220,7354;19,67
Reference;588;273947.2;540,67612;1221,9033;19,67
Reference;589;272531.2;424,3353;1223,0548;19,67
Reference;590;270031.2;690,85326;1224,2234;19,67
Reference;591;270291.2;502,69319;1225,3734;19,67
Reference;592;267887.2;436,18752;1226,5365;19,67
Reference;593;266203.2;550,51653;1227,6844;19,68
Reference;594;262711.2;450,08444;1228,8417;19,68
Reference;595;260859.2;532,67292;1229,9963;19,68
Reference;596;258839.2;503,05555;1231,153;19,68
Reference;597;255515.2;623,65232;1232,3074;19,68
Reference;598;253551.2;782,71209;1233,4625;19,68
Reference;599;251423.2;569,07098;1234,5857;19,68
Reference;600;248647.2;518,11796;1235,778;19,68
Reference;601;245687.2;611,01155;1236,9313;19,68
Reference;602;243519.2;447,98611;1238,0704;19,6833
Reference;603;240819.2;357,88018;1239,2329;19,68
Reference;604;237947.2;876,35203;1240,4056;19,68
Reference;605;235715.2;472,57216;1241,5492;19,68
Reference;606;232551.2;317,01104;1242,7093;19,6833
Reference;607;230199.2;224,25779;1243,8601;19,6833
Reference;608;228087.2;373,52614;1244,9876;19,6833
Reference;609;223979.2;594,64873;1246,1714;19,6833
Reference;610;221995.2;398,26289;1247,3343;19,6833
Reference;611;219751.2;551,02168;1248,481;19,6833
Reference;612;215199.2;484,62402;1249,6367;19,6833
Reference;613;212955.2;509,36126;1250,8015;19,6833
Reference;614;211351.2;570,20698;1251,9242;19,6833
Reference;615;209247.2;590,41379;1253,1238;19,6833
Reference;616;205787.2;515,28805;1254,2788;19,6833
Reference;617;202879.2;493,85378;1255,4213;19,6833
Reference;618;200827.2;421,37553;1256,5396;19,6833
Reference;619;198495.2;309,85301;1257,7358;19,6833
Reference;620;195915.2;602,42473;1258,8914;19,6833
Reference;621;194087.2;476,05975;1259,9967;19,6866
Reference;622;190563.2;499,62831;1261,1933;19,6866
Reference;623;188891.2;462,92596;1262,3523;19,6866
Reference;624;185747.2;318,20608;1263,5157;19,6866
Reference;625;183763.2;442,48992;1264,6735;19,6866
Reference;626;180359.2;409,07266;1265,922;19,6866
Reference;627;178131.2;433,90526;1267,0809;19,6866
Reference;628;175967.2;465,18049;1268,231;19,6866
Reference;629;173375.2;366,56968;1269,344;19,6866
Reference;630;169739.2;257,10871;1270,5348;19,69
Reference;631;166399.2;655,3018;1271,6819;19,69
Reference;632;164427.2;397,0021;1272,8422;19,69
Reference;633;161479.2;306,75071;1273,9948;19,69
Reference;634;157987.2;530,08343;1275,1557;19,69
Reference;635;155211.2;332,81026;1276,3;19,69
Reference;636;152799.2;329,06332;1277,4592;19,69
Reference;637;150479.2;260,28702;1278,6091;19,69
Reference;638;147983.2;449,23837;1279,7222;19,69
Reference;639;145755.2;407,26732;1280,9109;19,69
Reference;640;143639.2;311,23839;1282,0789;19,69
Reference;641;141539.2;334,94013;1283,2298;19,69
Reference;642;138887.2;385,88657;1284,3865;19,69
Reference;643;136331.2;510,58833;1285,5325;19,69
Reference;644;134191.2;345,09644;1286,6966;19,69
Reference;645;131703.2;376,13473;1287,8446;19,69
Reference;646;129575.2;360,20982;1289,0175;19,69
Reference;647;127767.2;460,4172;1290,167;19,69
Reference;648;124739.2;445,50895;1291,322;19,69
Reference;649;123115.2;316,92972;1292,4939;19,69
Reference;650;120695.2;425,92644;1293,6451;19,69
