Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;480;38192;185,21339;2168,9968;19,91
Reference;481;37756;152,19286;2170,4156;19,91
Reference;482;36972;268,72869;2171,5644;19,91
Reference;483;36196;193,99427;2172,7405;19,91
Reference;484;35024;188,67491;2173,9025;19,91
Reference;485;34512;212,48163;2175,059;19,91
Reference;486;33440;197,13504;2176,2111;19,91
Reference;487;33128;138,92284;2177,3761;19,91
Reference;488;32212;256,8216;2178,5282;19,91
Reference;489;32364;75,765721;2179,6862;19,91
Reference;490;31228;127,75671;2180,8499;19,91
Reference;491;31036;224,33705;2182,0069;19,91
Reference;492;30132;212,92043;2183,1677;19,91
Reference;493;29576;111,26745;2184,319;19,91
Reference;494;28156;192,24521;2185,4789;19,91
Reference;495;27704;174,37635;2186,6246;19,91
Reference;496;27012;241,77492;2187,7796;19,91
Reference;497;26344;162,66667;2188,9316;19,91
Reference;498;25048;175,25093;2190,0945;19,91
Reference;499;24536;153,32754;2191,2445;19,91
Reference;500;23268;169,08118;2192,4123;19,91
Reference;501;22200;194,68493;2193,5725;19,91
Reference;502;21272;166,72532;2194,7219;19,91
Reference;503;20200;169,07592;2195,8769;19,92
Reference;504;18964;130,97243;2197,0343;19,92
Reference;505;17876;104,55408;2198,1903;19,92
Reference;506;16548;165,46769;2199,3628;19,92
Reference;507;15952;115,90034;2200,5124;19,92
Reference;508;15064;112,38031;2201,6739;19,92
Reference;509;14232;109,26827;2202,8293;19,92
Reference;510;13276;100,7439;2203,9722;19,92
Reference;511;12812;100,49654;2205,1357;19,92
Reference;512;12276;123,42519;2206,2935;19,92
Reference;513;11780;88,292443;2207,4551;19,92
Reference;514;11248;82,795598;2208,6156;19,92
Reference;515;10648;103,76041;2209,7719;19,92
Reference;516;10328;55,872872;2210,9252;19,92
Reference;517;9840;88,844433;2212,092;19,9233
Reference;518;9388;116,70285;2213,2372;19,9233
Reference;519;8824;95,628912;2214,3942;19,9233
Reference;520;8368;80,840034;2215,5524;19,9233
Reference;521;8020;83,533094;2216,7094;19,9233
Reference;522;7644;99,679486;2217,8644;19,9233
Reference;523;7492;79,78861;2219,0219;19,9233
Reference;524;7052;48,460752;2220,1807;19,9233
Reference;525;6660;69,346153;2221,2941;19,9233
Reference;526;6240;115,31599;2222,5008;19,9233
Reference;527;6152;85,956061;2223,6502;19,9233
Reference;528;5860;73,333333;2224,8083;19,9233
Reference;529;5720;80,884005;2225,967;19,9266
Reference;530;5520;81,975606;2227,1224;19,9266
Reference;531;5376;90,273658;2228,275;19,9266
Reference;532;5220;78,031333;2229,4292;19,9266
Reference;533;4944;42,666667;2230,588;19,9266
Reference;534;4864;87,065748;2231,7448;19,9266
Reference;535;4836;74,344543;2232,8545;19,9266
Reference;536;4756;82,505219;2234,0519;19,9266
Reference;537;4756;44;2235,1995;19,9266
Reference;538;4512;104,27315;2236,3595;19,9266
Reference;539;4616;69,589271;2237,5094;19,9266
Reference;540;4388;59,940711;2238,6704;19,93
Reference;541;4280;52,662447;2239,823;19,93
Reference;542;4248;58,968918;2240,9796;19,93
Reference;543;4188;44,641784;2242,1464;19,93
Reference;544;4140;59,404452;2243,2888;19,93
Reference;545;4200;58,118653;2244,4102;19,93
Reference;546;4060;48,534066;2245,6061;19,93
Reference;547;4116;71,665891;2246,7642;19,93
Reference;548;3972;69,037832;2247,9232;19,93
Reference;549;3912;50,173034;2249,0792;19,93
Reference;550;3960;44,221664;2250,2285;19,93
Reference;551;3816;65,10163;2251,3875;19,93
Reference;552;3800;51,982903;2252,5391;19,93
Reference;553;3716;60,354508;2253,6786;19,93
Reference;554;3620;68,313005;2254,8376;19,93
Reference;555;3640;42,998708;2255,9955;19,93
Reference;556;3520;52,323778;2257,1489;19,93
Reference;557;3524;44,402202;2258,3032;19,93
Reference;558;3564;65,169864;2259,4697;19,93
Reference;559;3384;50,666667;2260,625;19,93
Reference;560;3484;71,913528;2261,7786;19,9333
Reference;561;3460;74,535599;2262,9364;19,9333
Reference;562;3336;45,097425;2264,0895;19,9333
Reference;563;3300;72,846871;2265,2414;19,9333
Reference;564;3208;58,666667;2266,3999;19,9333
Reference;565;3128;65,537097;2267,5737;19,9333
Reference;566;3100;49,977773;2268,8258;19,9333
Reference;567;3304;56,316566;2269,9718;19,9333
Reference;568;3124;78,75701;2271,1379;19,9333
Reference;569;3056;60,280824;2272,2792;19,9333
Reference;570;3064;37,333333;2273,4473;19,9333
Reference;571;3020;49,977773;2274,6146;19,9466
Reference;572;3060;78,937387;2275,8704;19,9466
Reference;573;2904;67,514607;2277,0256;19,9466
Reference;574;2876;48,60727;2278,1784;19,9466
Reference;575;3044;47,870195;2279,3361;19,9466
Reference;576;2900;58,802872;2280,4895;19,9466
Reference;577;2932;55,633723;2281,6504;19,9466
Reference;578;2892;52,679323;2282,7979;19,94
Reference;579;2920;55,617743;2283,9745;19,94
Reference;580;2752;50,526121;2285,1286;19,94
Reference;581;2828;59,643385;2286,2756;19,94
Reference;582;2772;50,614008;2287,4404;19,94
Reference;583;2728;43,736585;2288,596;19,94
Reference;584;2740;63,735565;2289,7468;19,94
Reference;585;2800;44,221664;2290,907;19,94
Reference;586;2632;51,570879;2292,0653;19,94
Reference;587;2756;60,354508;2293,2236;19,94
Reference;588;2632;60,750857;2294,376;19,94
Reference;589;2652;70,817449;2295,5297;19,94
Reference;590;2604;71,417396;2296,6852;19,94
Reference;591;2460;74,535599;2297,8422;19,94
