Reference;EmissionWavelength;Intensity;IntensityStdError;RealTime;RealTemperature
Reference;480;12164;154,35025;1675,8517;19,7933
Reference;481;14276;72,111026;1677,3059;19,7933
Reference;482;17016;116,54279;1678,4651;19,7933
Reference;483;20856;177,38846;1679,6209;19,7933
Reference;484;26216;189,12665;1680,7646;19,7933
Reference;485;33228;200,00444;1681,9226;19,7933
Reference;486;43056;149,6663;1683,0671;19,7933
Reference;487;57464;287,87652;1684,2317;19,7933
Reference;488;75884;352,46686;1685,3834;19,7933
Reference;489;99596;308,8761;1686,5513;19,7933
Reference;490;129648;295,07363;1687,7007;19,7933
Reference;491;166500;435,75528;1688,8665;19,7933
Reference;492;207084;495,81538;1690,0179;19,7933
Reference;493;251360;421,64545;1691,1812;19,7933
Reference;494;296912;787,55204;1692,3328;19,7933
Reference;495;340044;791,55655;1693,4437;19,7933
Reference;496;378204;416,54878;1694,642;19,7933
Reference;497;413436;1103,5982;1695,7835;19,7933
Reference;498;440300;1250,4712;1696,9089;19,7933
Reference;499;459348;725,90296;1698,0952;19,7933
Reference;500;472864;887,3992;1699,2571;19,7933
Reference;501;481328;698,46307;1700,4166;19,7933
Reference;502;486264;879,14706;1701,5787;19,7933
Reference;503;485552;760,58925;1702,7256;19,7933
Reference;504;482576;788,76556;1703,8637;19,7933
Reference;505;478472;757,33333;1704,9992;19,7933
Reference;506;474976;739,65758;1706,187;19,7933
Reference;507;471920;850,70846;1707,337;19,7933
Reference;508;466620;660,73225;1708,4985;19,7933
Reference;509;464220;404,39585;1709,6577;19,7933
Reference;510;460644;797,1962;1710,8123;19,7933
Reference;511;462992;878,56853;1711,9271;19,7933
Reference;512;457764;464,87465;1713,1223;19,7933
Reference;513;458864;599,63841;1714,2775;19,7966
Reference;514;457676;639,25651;1715,4343;19,7966
Reference;515;459712;621,65943;1716,5903;19,7966
Reference;516;459424;879,1875;1717,7533;19,7966
Reference;517;459256;935,44523;1718,9179;19,7966
Reference;518;460068;1260,7307;1720,0674;19,7966
Reference;519;461900;541,81424;1721,2249;19,7966
Reference;520;458840;588,065;1722,3825;19,7966
Reference;521;457676;1049,4316;1723,5426;19,7966
Reference;522;455960;886,76591;1724,7106;19,7966
Reference;523;456276;577,23479;1725,8664;19,7966
Reference;524;450980;888,25322;1727,0235;19,7966
Reference;525;447352;506,04172;1728,1816;19,7966
Reference;526;441836;846,30964;1729,3391;19,7966
Reference;527;436908;612,31945;1730,4956;19,7966
Reference;528;431740;887,71267;1731,6569;19,7966
Reference;529;425244;1205,2338;1732,7915;19,7966
Reference;530;415872;987,66076;1733,9581;19,7966
Reference;531;409568;663,82863;1735,1129;19,79
Reference;532;399276;716,46664;1736,2707;19,79
Reference;533;389096;747,64222;1737,438;19,79
Reference;534;377772;611,31407;1738,5808;19,79
Reference;535;369344;588,41557;1739,7381;19,79
Reference;536;357748;1123,6773;1740,9016;19,79
Reference;537;346644;535,33126;1742,0607;19,79
Reference;538;334276;411,92232;1743,2097;19,79
Reference;539;324852;761,1792;1744,3651;19,79
Reference;540;312800;438,59169;1745,518;19,79
Reference;541;301876;855,8141;1746,6389;19,79
Reference;542;291836;457,7918;1747,8287;19,79
Reference;543;281216;671,55541;1748,9836;19,79
Reference;544;270272;625,05324;1750,1519;19,79
Reference;545;259700;426,18514;1751,2929;19,79
Reference;546;251276;486,19155;1752,4471;19,79
Reference;547;241788;490,0449;1753,612;19,8
Reference;548;232896;452,07669;1754,7667;19,8
Reference;549;223804;475,6488;1755,9152;19,8
